clone_id	SHM	Donor count	Donor	Tissue	Isotype
12116	0.017793594306049824	1	CCM3	Gastric_pylorus	IgD
13460	0.13553113553113552	1	CCM3	Gastric_pylorus	IgD
17612	0.06691449814126393	1	CCM3	Gastric_pylorus	IgD
20394	0.06343283582089553	1	CCM3	Gastric_pylorus	IgD
20400	0.04797047970479705	2	CCM3	Gastric_pylorus	IgD
39631	0.03636363636363636	1	CCM3	Gastric_pylorus	IgD
39669	0.06985294117647059	1	CCM3	Gastric_pylorus	IgD
42504	0.0	1	CCM3	Gastric_pylorus	IgD
43958	0.014388489208633094	1	CCM3	Gastric_pylorus	IgD
57920	0.06569343065693431	1	CCM3	Gastric_pylorus	IgD
60079	0.04044117647058824	1	CCM3	Gastric_pylorus	IgD
61450	0.037037037037037035	1	CCM3	Gastric_pylorus	IgD
66168	0.07037037037037037	1	CCM3	Gastric_pylorus	IgD
92828	0.04428044280442805	2	CCM3	Gastric_pylorus	IgD
95351	0.0661764705882353	1	CCM3	Gastric_pylorus	IgD
96977	0.0	1	CCM3	Gastric_pylorus	IgD
99442	0.030525030525030528	1	CCM3	Gastric_pylorus	IgD
99679	0.03663003663003663	1	CCM3	Gastric_pylorus	IgD
100608	0.04044117647058824	1	CCM3	Gastric_pylorus	IgD
108282	0.04460966542750929	1	CCM3	Gastric_pylorus	IgD
113166	0.04411764705882353	1	CCM3	Gastric_pylorus	IgD
123540	0.08271604938271604	2	CCM3	Gastric_pylorus	IgD
132590	0.06909090909090909	1	CCM3	Gastric_pylorus	IgD
138269	0.04	1	CCM3	Gastric_pylorus	IgD
138270	0.02909090909090909	1	CCM3	Gastric_pylorus	IgD
138272	0.03272727272727273	1	CCM3	Gastric_pylorus	IgD
159305	0.02491103202846975	1	CCM3	Gastric_pylorus	IgD
185455	0.02181818181818182	1	CCM3	Gastric_pylorus	IgD
186260	0.06545454545454546	1	CCM3	Gastric_pylorus	IgD
194444	0.10074626865671642	1	CCM3	Gastric_pylorus	IgD
199688	0.07326007326007326	1	CCM3	Gastric_pylorus	IgD
200493	0.0	1	CCM3	Gastric_pylorus	IgD
231016	0.05319148936170213	1	CCM3	Gastric_pylorus	IgD
240646	0.04044117647058824	1	CCM3	Gastric_pylorus	IgD
273515	0.06106932850728603	2	CCM3	Gastric_pylorus	IgD
273617	0.0898876404494382	1	CCM3	Gastric_pylorus	IgD
273622	0.03773584905660377	1	CCM3	Gastric_pylorus	IgD
339294	0.06934306569343066	1	CCM3	Gastric_pylorus	IgD
339354	0.05474452554744526	1	CCM3	Gastric_pylorus	IgD
342390	0.03690036900369004	1	CCM3	Gastric_pylorus	IgD
345304	0.037037037037037035	1	CCM3	Gastric_pylorus	IgD
345579	0.018518518518518517	1	CCM3	Gastric_pylorus	IgD
350032	0.051094890510948905	1	CCM3	Gastric_pylorus	IgD
352292	0.047619047619047616	1	CCM3	Gastric_pylorus	IgD
356315	0.003676470588235294	1	CCM3	Gastric_pylorus	IgD
364136	0.0	1	CCM3	Gastric_pylorus	IgD
364643	0.007326007326007326	1	CCM3	Gastric_pylorus	IgD
370661	0.07380073800738007	1	CCM3	Gastric_pylorus	IgD
398605	0.0695970695970696	1	CCM3	Gastric_pylorus	IgD
405237	0.06642066420664207	1	CCM3	Gastric_pylorus	IgD
415493	0.04797047970479705	1	CCM3	Gastric_pylorus	IgD
422374	0.007220216606498195	1	CCM3	Gastric_pylorus	IgD
427544	0.06666666666666667	1	CCM3	Gastric_pylorus	IgD
449152	0.0036900369003690036	1	CCM3	Gastric_pylorus	IgD
449394	0.07913669064748201	1	CCM3	Gastric_pylorus	IgD
455026	0.04316546762589928	1	CCM3	Gastric_pylorus	IgD
462213	0.014814814814814815	1	CCM3	Gastric_pylorus	IgD
462214	0.018518518518518517	1	CCM3	Gastric_pylorus	IgD
474746	0.06985294117647059	1	CCM3	Gastric_pylorus	IgD
474749	0.11029411764705882	1	CCM3	Gastric_pylorus	IgD
480749	0.03636363636363636	2	CCM3	Gastric_pylorus	IgD
491296	0.0	1	CCM3	Gastric_pylorus	IgD
503263	0.05818181818181818	1	CCM3	Gastric_pylorus	IgD
506978	0.03558718861209965	1	CCM3	Gastric_pylorus	IgD
506979	0.021352313167259787	1	CCM3	Gastric_pylorus	IgD
512054	0.029850746268656716	1	CCM3	Gastric_pylorus	IgD
516233	0.018656716417910446	1	CCM3	Gastric_pylorus	IgD
520060	0.0	1	CCM3	Gastric_pylorus	IgD
521433	0.07063197026022305	1	CCM3	Gastric_pylorus	IgD
522238	0.01486988847583643	1	CCM3	Gastric_pylorus	IgD
523021	0.10948905109489052	1	CCM3	Gastric_pylorus	IgD
535068	0.061371841155234655	1	CCM3	Gastric_pylorus	IgD
538003	0.10622710622710622	1	CCM3	Gastric_pylorus	IgD
548848	0.02181818181818182	1	CCM3	Gastric_pylorus	IgD
573066	0.007462686567164179	1	CCM3	Gastric_pylorus	IgD
577189	0.018315018315018316	1	CCM3	Gastric_pylorus	IgD
584480	0.042704626334519574	1	CCM3	Gastric_pylorus	IgD
587637	0.06666666666666667	1	CCM3	Gastric_pylorus	IgD
611752	0.025735294117647058	1	CCM3	Gastric_pylorus	IgD
617840	0.043274244004171014	3	CCM3	Gastric_pylorus	IgD
617966	0.037712895377128956	1	CCM3	Gastric_pylorus	IgD
623033	0.0989010989010989	1	CCM3	Gastric_pylorus	IgD
649909	0.01845018450184502	1	CCM3	Gastric_pylorus	IgD
681260	0.02181818181818182	1	CCM3	Gastric_pylorus	IgD
682212	0.025925925925925925	1	CCM3	Gastric_pylorus	IgD
682432	0.12903225806451613	1	CCM3	Gastric_pylorus	IgD
684253	0.11275720164609052	1	CCM3	Gastric_pylorus	IgD
692500	0.03237410071942446	1	CCM3	Gastric_pylorus	IgD
721102	0.0	1	CCM3	Gastric_pylorus	IgD
