clone_id	SHM	SHM count	Donor count	Donor	Tissue	Isotype
66	0.0	0.0	1.0	CCM2	BM	IgM
67	0.0	0.0	1.0	CCM2	BM	IgM
74	0.0	0.0	1.0	CCM2	BM	IgM
75	0.0	0.0	1.0	CCM2	BM	IgM
102	0.025735294117647058	7.0	1.0	CCM2	BM	IgM
103	0.011029411764705883	3.0	1.0	CCM2	BM	IgM
104	0.025735294117647058	7.0	1.0	CCM2	BM	IgM
105	0.007434944237918215	2.0	1.0	CCM2	BM	IgM
118	0.0	0.0	1.0	CCM2	BM	IgM
129	0.03333333333333333	9.0	1.0	CCM2	BM	IgM
150	0.0037313432835820895	1.0	1.0	CCM2	BM	IgM
347	0.0	0.0	1.0	CCM2	BM	IgM
348	0.0	0.0	1.0	CCM2	BM	IgM
402	0.018796992481203006	5.0	1.0	CCM2	BM	IgM
403	0.0	0.0	1.0	CCM2	BM	IgM
404	0.0037593984962406013	1.0	1.0	CCM2	BM	IgM
461	0.0	0.0	1.0	CCM2	BM	IgM
462	0.0	0.0	1.0	CCM2	BM	IgM
463	0.0	0.0	1.0	CCM2	BM	IgM
464	0.025179856115107913	7.0	1.0	CCM2	BM	IgM
465	0.0	0.0	1.0	CCM2	BM	IgM
466	0.0	0.0	1.0	CCM2	BM	IgM
467	0.0	0.0	1.0	CCM2	BM	IgM
518	0.0	0.0	1.0	CCM2	BM	IgM
575	0.0035971223021582736	1.0	1.0	CCM2	BM	IgM
576	0.0	0.0	1.0	CCM2	BM	IgM
577	0.0	0.0	1.0	CCM2	BM	IgM
578	0.025362318840579712	7.0	1.0	CCM2	BM	IgM
579	0.0	0.0	1.0	CCM2	BM	IgM
615	0.011152416356877323	3.0	1.0	CCM2	BM	IgM
764	0.0	0.0	1.0	CCM2	BM	IgM
765	0.04779411764705882	13.0	1.0	CCM2	BM	IgM
838	0.0	0.0	1.0	CCM2	BM	IgM
898	0.011194029850746268	3.0	1.0	CCM2	BM	IgM
1012	0.09090909090909091	25.0	1.0	CCM2	BM	IgM
1232	0.0	0.0	1.0	CCM2	BM	IgM
1312	0.03690036900369004	10.0	1.0	CCM2	BM	IgM
1313	0.0	0.0	1.0	CCM2	BM	IgM
1314	0.0	0.0	1.0	CCM2	BM	IgM
1315	0.0	0.0	1.0	CCM2	BM	IgM
1316	0.0	0.0	1.0	CCM2	BM	IgM
1317	0.0	0.0	1.0	CCM2	BM	IgM
1408	0.0	0.0	1.0	CCM2	BM	IgM
1409	0.0	0.0	1.0	CCM2	BM	IgM
1410	0.0	0.0	1.0	CCM2	BM	IgM
1411	0.018726591760299626	5.0	1.0	CCM2	BM	IgM
1412	0.0	0.0	1.0	CCM2	BM	IgM
1413	0.02962962962962963	8.0	1.0	CCM2	BM	IgM
1414	0.0	0.0	1.0	CCM2	BM	IgM
1415	0.0	0.0	1.0	CCM2	BM	IgM
1416	0.0	0.0	1.0	CCM2	BM	IgM
1677	0.07340553549939831	20.333333333333332	1.0	CCM2	BM	IgM
1679	0.04142326075411577	11.142857142857142	1.0	CCM2	BM	IgM
1680	0.025179856115107913	7.0	1.0	CCM2	BM	IgM
1681	0.0035971223021582736	1.0	1.0	CCM2	BM	IgM
1682	0.014652014652014652	4.0	1.0	CCM2	BM	IgM
1683	0.0	0.0	1.0	CCM2	BM	IgM
1684	0.0	0.0	1.0	CCM2	BM	IgM
1685	0.0	0.0	1.0	CCM2	BM	IgM
1686	0.05776173285198556	16.0	1.0	CCM2	BM	IgM
1687	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
1688	0.018315018315018316	5.0	1.0	CCM2	BM	IgM
1689	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
1906	0.0	0.0	1.0	CCM2	BM	IgM
1907	0.0035971223021582736	1.0	1.0	CCM2	BM	IgM
1908	0.0	0.0	1.0	CCM2	BM	IgM
1909	0.01107011070110701	3.0	1.0	CCM2	BM	IgM
2039	0.0	0.0	1.0	CCM2	BM	IgM
2193	0.04044117647058824	11.0	1.0	CCM2	BM	IgM
2668	0.018115942028985508	5.0	1.0	CCM2	BM	IgM
2669	0.0	0.0	1.0	CCM2	BM	IgM
2670	0.0	0.0	1.0	CCM2	BM	IgM
2671	0.04411764705882353	12.0	1.0	CCM2	BM	IgM
2672	0.0	0.0	1.0	CCM2	BM	IgM
2791	0.06734317343173432	18.25	2.0	CCM2	BM	IgM
2802	0.0	0.0	1.0	CCM2	BM	IgM
2982	0.003703703703703704	1.0	1.0	CCM2	BM	IgM
3132	0.003676470588235294	1.0	1.0	CCM2	BM	IgM
3133	0.02952029520295203	8.0	1.0	CCM2	BM	IgM
3134	0.0	0.0	1.0	CCM2	BM	IgM
3135	0.04779411764705882	13.0	1.0	CCM2	BM	IgM
3439	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
3872	0.01824817518248175	5.0	1.0	CCM2	BM	IgM
3873	0.0	0.0	1.0	CCM2	BM	IgM
3874	0.0	0.0	1.0	CCM2	BM	IgM
3978	0.07720588235294118	21.0	1.0	CCM2	BM	IgM
3979	0.02952029520295203	8.0	1.0	CCM2	BM	IgM
3980	0.0	0.0	1.0	CCM2	BM	IgM
4024	0.0	0.0	1.0	CCM2	BM	IgM
4051	0.0	0.0	1.0	CCM2	BM	IgM
4052	0.0	0.0	1.0	CCM2	BM	IgM
4074	0.0	0.0	1.0	CCM2	BM	IgM
4102	0.0	0.0	1.0	CCM2	BM	IgM
4103	0.0	0.0	1.0	CCM2	BM	IgM
4133	0.12781954887218044	34.0	1.0	CCM2	BM	IgM
4176	0.0	0.0	1.0	CCM2	BM	IgM
4265	0.0	0.0	1.0	CCM2	BM	IgM
4266	0.0	0.0	1.0	CCM2	BM	IgM
4267	0.0	0.0	1.0	CCM2	BM	IgM
