	Immune related	Gastric	Small intestine	Large intestine	Others
PBMC	2641.0833333333385	539.4999999999975	639.5833333333338	1073.9166666666733	171.91666666666657
BM	2136.033333333328	401.36666666666554	109.3666666666667	237.86666666666702	261.3666666666669
Spleen	2668.7500000000023	269.1666666666667	160.66666666666666	252.25000000000048	284.1666666666667
Thymus	2019.1999999999932	288.0333333333332	298.5333333333331	669.2833333333338	147.95
Tonsils	2839.000000000008	881.3333333333367	190.3333333333334	285.66666666666663	138.66666666666657
SLN	3886.0666666666752	325.23333333333267	131.9833333333332	326.8166666666662	199.9000000000002
ALN	4047.816666666673	265.48333333333335	138.23333333333323	367.1499999999992	166.31666666666663
HLN	6683.7333333332945	587.3999999999997	355.7333333333322	763.2333333333368	359.89999999999884
MLN	3657.6666666666883	454.8333333333306	1091.2500000000057	944.0000000000067	234.25000000000017
ILN	3849.0000000000055	282.91666666666663	122.99999999999997	298.8333333333331	162.25000000000006
Gastric_cardia	977.5333333333384	371.4499999999986	226.7833333333333	404.8666666666651	97.36666666666677
Gastric_body	399.7499999999983	293.9999999999995	124.41666666666663	194.00000000000006	57.83333333333346
Gastric_pylorus	1767.6499999999962	412.6499999999986	192.8166666666667	263.90000000000003	167.98333333333332
Duodenum	832.0000000000051	229.3333333333334	1850.4999999999952	274.0833333333336	98.08333333333336
Jejunum	794.8166666666701	124.39999999999993	2021.483333333327	176.31666666666666	85.98333333333338
Ileum	1321.9333333333332	228.5166666666668	1970.2666666666603	758.0166666666697	133.26666666666662
Cecum	1050.3000000000075	231.13333333333372	372.3833333333319	2700.3000000000065	85.88333333333343
Ascending_colon	1067.3500000000054	165.1833333333336	242.26666666666713	1798.6833333333263	70.51666666666677
Transverse_colon	600.6999999999994	195.6166666666668	227.45000000000024	2235.116666666663	67.11666666666683
Descending_colon	625.0000000000005	186.75000000000026	296.5833333333331	2627.6666666666724	63.000000000000135
Sigmoid_colon	1068.3166666666732	308.816666666666	358.64999999999844	2482.3166666666675	97.90000000000008
Rectum	715.0666666666693	181.90000000000023	327.89999999999884	2539.1500000000024	68.98333333333348
Liver	445.7833333333326	59.86666666666676	49.28333333333338	70.70000000000006	60.36666666666675
Gallbladder	246.35000000000025	117.93333333333332	150.1833333333333	113.09999999999995	29.43333333333331
Parotid_gland	509.09999999999894	100.43333333333331	42.266666666666694	80.85000000000007	65.3500000000001
