Tissue	# Shared clone	# Unshared clone	# All clone
PBMC	5066	20375	25441
BM	7778	25826	33604
Spleen	3635	6473	10108
Thymus	3423	4647	8070
Tonsils	4335	10512	14847
SLN	4870	11551	16421
ALN	4985	12854	17839
HLN	8750	27976	36726
MLN	6382	32079	38461
ILN	4716	7936	12652
Gastric_cardia	2078	3769	5847
Gastric_body	1070	754	1824
Gastric_pylorus	2805	3444	6249
Duodenum	3284	1844	5128
Jejunum	3203	1517	4720
Ileum	4412	2822	7234
Cecum	4440	5101	9541
Ascending_colon	3344	1736	5080
Transverse_colon	3326	1608	4934
Descending_colon	3799	1765	5564
Sigmoid_colon	4316	3256	7572
Rectum	3833	2454	6287
Liver	686	602	1288
Gallbladder	657	242	899
Parotid_gland	798	576	1374
