clone_id	SHM	Isotype	Tissue group
1899	5.072463768115942	IgM	Immune related
2791	7.011070110701106	IgA	Immune related
2791	5.904059040590407	IgM	Immune related
4325	1.4705882352941175	IgA	Immune related
5669	3.4926470588235294	IgG	Immune related
7060	5.035971223021583	IgG	Immune related
7064	7.314148681055157	IgG	Immune related
10742	12.151515151515149	IgG	Immune related
11297	8.88888888888889	IgA	Immune related
12149	3.9145907473309616	IgM	Immune related
15732	6.985294117647061	IgG	Immune related
16438	6.985294117647059	IgG	Immune related
18500	2.205882352941177	IgM	Gastric
20400	4.80373681528578	IgA	Gastric
20400	4.797047970479705	IgD	Gastric
20400	4.797047970479705	IgE	Gastric
20400	4.797047970479706	IgG	Gastric
22130	0.0	IgM	Gastric
22791	1.552379973270278	IgM	Immune related
22792	2.058768482126147	IgM	Immune related
23589	5.970149253731343	IgE	Immune related
23589	5.970149253731341	IgG	Immune related
23599	5.646528931567366	IgG	Immune related
23604	7.462686567164177	IgG	Immune related
23605	5.243445692883896	IgG	Immune related
23625	7.954545454545454	IgG	Immune related
25657	1.9424460431654682	IgM	Immune related
25770	2.18978102189781	IgA	Immune related
25770	2.18978102189781	IgG	Immune related
27248	9.205149135633912	IgE	Immune related
27248	8.965248844792288	IgG	Immune related
27249	8.888888888888888	IgG	Immune related
27264	10.700146128899886	IgG	Immune related
27264	13.211678832116789	IgM	Immune related
27270	6.273062730627306	IgG	Immune related
27273	7.107843137254903	IgG	Immune related
27583	8.548585485854858	IgG	Immune related
30394	6.390977443609022	IgE	Immune related
33531	7.4074074074074066	IgG	Immune related
34347	7.380073800738007	IgG	Immune related
34911	4.37956204379562	IgG	Immune related
35347	2.545454545454545	IgG	Immune related
35446	4.332129963898916	IgM	Immune related
38119	12.132352941176471	IgA	Immune related
38135	10.70110701107011	IgG	Immune related
38678	3.3834586466165413	IgM	Immune related
41909	0.0	IgM	Immune related
44125	5.147058823529412	IgG	Immune related
44399	10.855018587360593	IgG	Immune related
44689	1.8181818181818181	IgM	Gastric
44960	4.411764705882353	IgM	Immune related
45241	0.3703703703703704	IgM	Gastric
47624	9.558823529411764	IgG	Immune related
47654	1.4545454545454544	IgM	Immune related
47790	1.4545454545454544	IgM	Immune related
47839	8.02919708029197	IgG	Immune related
49092	3.6764705882352935	IgG	Immune related
49927	1.2962962962962965	IgA	Gastric
51819	5.6985294117647065	IgG	Immune related
52956	0.7407407407407408	IgM	Immune related
55115	3.7453183520599254	IgM	Immune related
55266	0.0	IgM	Immune related
56466	1.4760147601476012	IgM	Gastric
56824	2.9411764705882355	IgG	Immune related
56908	4.37956204379562	IgG	Immune related
58215	5.992509363295881	IgE	Immune related
58215	7.57943548008598	IgG	Immune related
58242	3.8271604938271615	IgG	Immune related
59127	6.319702602230483	IgG	Immune related
59434	2.9411764705882355	IgM	Immune related
59455	0.0	IgM	Immune related
59908	10.408921933085502	IgG	Immune related
61176	2.9520295202952034	IgM	Immune related
61863	10.947712418300652	IgM	Immune related
63604	6.319702602230483	IgM	Immune related
65765	4.0740740740740735	IgM	Immune related
65795	0.7380073800738006	IgM	Immune related
72117	4.49438202247191	IgM	Immune related
72278	9.420289855072465	IgM	Immune related
72442	2.247191011235955	IgM	Immune related
72862	4.332129963898916	IgM	Immune related
77196	8.99398779200514	IgM	Immune related
79219	0.0	IgM	Immune related
85244	7.631257631257632	IgM	Immune related
85245	7.434944237918216	IgM	Immune related
86761	1.7517301038062285	IgA	Gastric
92828	4.9904414706797695	IgA	Gastric
92828	4.428044280442805	IgD	Gastric
92828	6.027060270602705	IgE	Gastric
92828	5.854385466931599	IgG	Gastric
92843	6.803519061583578	IgG	Immune related
92860	6.934306569343067	IgE	Immune related
92860	7.360097323600972	IgG	Immune related
92872	5.090909090909091	IgA	Immune related
92872	5.090909090909091	IgG	Immune related
92985	0.0	IgM	Immune related
93137	0.0	IgM	Immune related
93581	5.109489051094891	IgE	Immune related
93581	5.109489051094891	IgG	Immune related
94065	0.0	IgM	Immune related
95141	0.9963099630996308	IgM	Gastric
99389	5.5762081784386615	IgA	Gastric
99423	2.3897058823529416	IgA	Gastric
100436	1.4814814814814816	IgM	Immune related
101077	3.6764705882352935	IgA	Gastric
101077	5.381695361071237	IgM	Gastric
101934	1.492537313432836	IgM	Immune related
103341	6.934306569343067	IgA	Immune related
103341	6.934306569343067	IgE	Immune related
103341	7.02575555769756	IgG	Immune related
103383	4.484848484848485	IgG	Immune related
104038	0.0	IgM	Immune related
106109	0.0	IgM	Immune related
108943	5.5762081784386615	IgE	Immune related
108943	6.567534076827758	IgG	Immune related
109085	7.222222222222223	IgA	Immune related
109085	7.592592592592593	IgG	Immune related
109303	10.70110701107011	IgM	Immune related
109892	11.193111931119311	IgG	Immune related
110847	0.36231884057971014	IgM	Immune related
110849	1.0869565217391304	IgM	Immune related
110890	1.7239789196310937	IgM	Immune related
110910	0.7246376811594203	IgM	Immune related
110932	1.8181818181818181	IgM	Immune related
110986	4.197080291970804	IgM	Immune related
114036	4.059040590405904	IgA	Gastric
114248	8.178438661710038	IgA	Immune related
118340	0.7380073800738006	IgM	Immune related
121690	2.8985507246376807	IgM	Immune related
122523	3.799019607843137	IgM	Immune related
122707	1.4760147601476012	IgM	Immune related
123540	8.42829434353762	IgA	Gastric
123540	8.271604938271604	IgD	Gastric
123540	8.518518518518517	IgE	Gastric
123540	8.451178451178446	IgG	Gastric
124738	8.118081180811808	IgA	Immune related
129876	3.308823529411765	IgM	Immune related
137091	4.1366906474820135	IgM	Immune related
139030	2.5179856115107917	IgA	Immune related
139614	3.0258302583025825	IgM	Immune related
139656	2.166064981949458	IgM	Immune related
139677	1.4760147601476012	IgM	Immune related
142555	5.090909090909091	IgE	Immune related
142563	2.9090909090909087	IgM	Immune related
142575	0.0	IgA	Immune related
142575	0.0	IgD	Immune related
142575	0.1038961038961039	IgE	Immune related
142575	0.16958041958041956	IgG	Immune related
145156	6.204379562043797	IgM	Gastric
148516	2.9520295202952034	IgM	Immune related
151316	5.454545454545453	IgA	Gastric
151316	6.060606060606061	IgM	Gastric
154223	4.411764705882353	IgA	Gastric
156203	2.181818181818182	IgA	Immune related
156204	4.363636363636364	IgA	Immune related
156206	1.5454545454545454	IgA	Immune related
159329	8.88888888888889	IgA	Immune related
159329	11.610486891385767	IgM	Immune related
159371	7.11111111111111	IgG	Immune related
160025	14.606741573033707	IgM	Immune related
165687	8.614232209737828	IgA	Immune related
165687	8.614232209737828	IgE	Immune related
165687	8.027465667915104	IgG	Immune related
