Length	Ratio	Group
5	0.011434942325009648	IgM
6	0.01858178127814068	IgM
7	0.5517359671817155	IgM
8	0.9733994654164463	IgM
9	1.0906076242477951	IgM
10	1.9725275510641644	IgM
11	3.734938036906276	IgM
12	5.627420991695374	IgM
13	7.994454052972371	IgM
14	9.439544889295465	IgM
15	11.842312145338116	IgM
16	11.730821457669274	IgM
17	10.098483440774146	IgM
18	8.313203070282015	IgM
19	7.022483955346551	IgM
20	5.485913580423379	IgM
21	4.238075499206701	IgM
22	3.3833135604122293	IgM
23	2.295564671745687	IgM
24	1.4408027329512159	IgM
25	2.734380583467932	IgM
7	2.6217228464419478	IgD
8	2.9962546816479403	IgD
9	1.8726591760299627	IgD
10	3.7453183520599254	IgD
11	4.119850187265917	IgD
12	7.116104868913857	IgD
13	9.363295880149813	IgD
14	7.490636704119851	IgD
15	10.861423220973784	IgD
16	8.239700374531834	IgD
17	15.355805243445692	IgD
18	5.992509363295881	IgD
19	10.861423220973784	IgD
20	2.9962546816479403	IgD
21	4.119850187265917	IgD
22	0.37453183520599254	IgD
23	1.4981273408239701	IgD
24	0.37453183520599254	IgD
7	1.4450867052023122	IgG
8	2.0809248554913293	IgG
9	1.9653179190751446	IgG
10	3.410404624277456	IgG
11	6.53179190751445	IgG
12	7.630057803468208	IgG
13	11.040462427745664	IgG
14	10.289017341040463	IgG
15	13.236994219653178	IgG
16	9.884393063583815	IgG
17	12.774566473988438	IgG
18	8.208092485549132	IgG
19	4.4508670520231215	IgG
20	2.4277456647398843	IgG
21	2.1965317919075145	IgG
22	1.1560693641618496	IgG
23	0.9248554913294799	IgG
24	0.11560693641618498	IgG
25	0.23121387283236997	IgG
7	1.3853258081067215	IgA
8	1.7444843509492047	IgA
9	2.1549512570549	IgA
10	3.3863519753719857	IgA
11	5.797845048742945	IgA
12	8.05541303232427	IgA
13	12.057465366854798	IgA
14	9.543355566957414	IgA
15	14.109799897383274	IgA
16	12.057465366854798	IgA
17	12.211390456644434	IgA
18	7.6962544894817855	IgA
19	4.104669061056952	IgA
20	2.052334530528476	IgA
21	1.7957927142124166	IgA
22	1.026167265264238	IgA
23	0.6670087224217547	IgA
24	0.0513083632632119	IgA
25	0.1026167265264238	IgA
7	2.3166023166023164	IgE
8	2.3166023166023164	IgE
9	3.088803088803089	IgE
10	4.247104247104247	IgE
11	5.405405405405405	IgE
12	5.405405405405405	IgE
13	8.494208494208493	IgE
14	7.335907335907336	IgE
15	11.196911196911197	IgE
16	7.335907335907336	IgE
17	14.285714285714285	IgE
18	13.8996138996139	IgE
19	5.7915057915057915	IgE
20	1.9305019305019304	IgE
21	3.088803088803089	IgE
22	2.7027027027027026	IgE
23	0.7722007722007722	IgE
24	0.3861003861003861	IgE
