Length	Ratio	Group
6	0.10131712259371835	IgM
7	4.86322188449848	IgM
8	4.356636271529888	IgM
9	3.64741641337386	IgM
10	6.484295845997974	IgM
11	9.219858156028367	IgM
12	7.598784194528875	IgM
13	11.246200607902736	IgM
14	9.422492401215806	IgM
15	8.915906788247213	IgM
16	6.281661600810537	IgM
17	12.360688956433636	IgM
18	6.180344478216818	IgM
19	4.154002026342452	IgM
20	2.127659574468085	IgM
21	1.7223910840932117	IgM
22	0.60790273556231	IgM
23	0.4052684903748734	IgM
25	0.303951367781155	IgM
7	5.633802816901409	IgD
8	4.225352112676056	IgD
9	1.4084507042253522	IgD
10	4.225352112676056	IgD
11	5.633802816901409	IgD
12	11.267605633802818	IgD
13	8.450704225352112	IgD
14	2.8169014084507045	IgD
15	9.859154929577464	IgD
16	8.450704225352112	IgD
17	14.084507042253522	IgD
18	9.859154929577464	IgD
19	8.450704225352112	IgD
21	4.225352112676056	IgD
23	1.4084507042253522	IgD
7	4.2682926829268295	IgG
8	3.048780487804878	IgG
9	2.7439024390243905	IgG
10	5.487804878048781	IgG
11	6.097560975609756	IgG
12	7.317073170731707	IgG
13	9.146341463414634	IgG
14	7.317073170731707	IgG
15	13.414634146341465	IgG
16	7.926829268292683	IgG
17	17.378048780487802	IgG
18	9.451219512195122	IgG
19	1.8292682926829267	IgG
20	1.8292682926829267	IgG
21	0.6097560975609756	IgG
22	0.9146341463414633	IgG
23	0.9146341463414633	IgG
25	0.3048780487804878	IgG
7	3.7433155080213902	IgA
8	2.406417112299465	IgA
9	4.010695187165775	IgA
10	5.614973262032086	IgA
11	4.010695187165775	IgA
12	6.149732620320856	IgA
13	9.893048128342247	IgA
14	9.358288770053475	IgA
15	12.834224598930483	IgA
16	7.219251336898395	IgA
17	16.844919786096256	IgA
18	9.62566844919786	IgA
19	3.7433155080213902	IgA
20	1.6042780748663104	IgA
21	1.3368983957219251	IgA
22	1.06951871657754	IgA
23	0.53475935828877	IgA
7	2.4691358024691357	IgE
8	3.7037037037037033	IgE
9	6.172839506172839	IgE
10	4.938271604938271	IgE
11	1.2345679012345678	IgE
12	3.7037037037037033	IgE
13	6.172839506172839	IgE
14	4.938271604938271	IgE
15	12.345679012345679	IgE
16	6.172839506172839	IgE
17	24.691358024691358	IgE
18	16.049382716049383	IgE
19	3.7037037037037033	IgE
20	1.2345679012345678	IgE
23	2.4691358024691357	IgE
