clone_id	IsotypeList	Donor count	CDR3aa len
33	IgM	1	12
66	IgM	1	12
67	IgM	1	12
69	IgM	1	12
74	IgM	1	12
75	IgM	1	12
102	IgM	1	12
103	IgM	1	12
104	IgM	1	12
105	IgM	1	12
118	IgM	1	12
129	IgM	1	12
150	IgM	1	12
176	IgM	1	12
347	IgM	1	12
348	IgM	1	12
402	IgM	1	12
403	IgM	1	12
404	IgM	1	12
461	IgM	1	12
462	IgM	1	12
463	IgM	1	12
464	IgM	1	12
465	IgM	1	12
466	IgM	1	12
467	IgM	1	12
518	IgM	1	12
575	IgM	1	12
576	IgM	1	12
577	IgM	1	12
578	IgM	1	12
579	IgM	1	12
615	IgM	1	12
764	IgM	1	12
765	IgM	1	12
838	IgM	1	12
898	IgM	1	12
1012	IgM	1	12
1232	IgM	1	12
1302	IgM	1	12
1312	IgM	1	12
1313	IgM	1	12
1314	IgM	1	12
1315	IgM	1	12
1316	IgM	1	12
1317	IgM	1	12
1408	IgM	1	12
1409	IgM	1	12
1410	IgM	1	12
1411	IgM	1	12
1412	IgM	1	12
1413	IgM	1	12
1414	IgM	1	12
1415	IgM	1	12
1416	IgM	1	12
1677	IgM|IgA|IgG	1	12
1679	IgM	1	12
1680	IgM	1	12
1681	IgM	1	12
1682	IgM	1	12
1683	IgM	1	12
1684	IgM	1	12
1685	IgM	1	12
1686	IgM	1	12
1687	IgM	1	12
1688	IgM	1	12
1689	IgM	1	12
1906	IgM	1	12
1907	IgM	1	12
1908	IgM	1	12
1909	IgM	1	12
2039	IgM	1	12
2193	IgM	1	12
2289	IgM	1	12
2668	IgM|IgA	1	12
2669	IgM	1	12
2670	IgM	1	12
2671	IgM	1	12
2672	IgM	1	12
2791	IgM|IgA|IgG	2	12
2802	IgM	1	12
2982	IgM	1	12
3132	IgM	1	12
3133	IgM	1	12
3134	IgM	1	12
3135	IgM	1	12
3439	IgM	1	12
3872	IgM	1	12
3873	IgM	1	12
3874	IgM	1	12
3960	IgM	1	12
3978	IgM	1	12
3979	IgM	1	12
3980	IgM	1	12
4024	IgM	1	12
4051	IgM	1	12
4052	IgM	1	12
4074	IgM	1	12
4102	IgM	1	12
4103	IgM	1	12
4133	IgM	1	12
4176	IgM	1	12
4265	IgM	1	12
4266	IgM	1	12
4267	IgM	1	12
4353	IgM	1	12
4354	IgM	1	12
4355	IgM	1	12
4356	IgM	1	12
4357	IgM	1	12
4358	IgM	1	12
4359	IgM	1	12
4360	IgM	1	12
4361	IgM	1	12
4362	IgM	1	12
4363	IgM	1	12
4364	IgM	1	12
4365	IgM	1	12
4366	IgM	1	12
4461	IgM	1	12
4525	IgM	1	12
4562	IgM	1	12
4627	IgM	1	12
4628	IgM	1	12
4629	IgM	1	12
4630	IgM	1	12
4631	IgM	1	12
4632	IgM	1	12
4633	IgM	1	12
4634	IgM	1	12
4635	IgM	1	12
4636	IgM	1	12
4718	IgM	1	12
4825	IgM	1	12
5176	IgM	1	12
5177	IgM	1	12
5178	IgM	1	12
5179	IgM	1	12
5284	IgM	1	12
5299	IgM	1	12
5300	IgM	1	12
5301	IgM	1	12
5302	IgM	1	12
5303	IgM	1	12
5304	IgM	1	12
5305	IgM	1	12
5306	IgM	1	12
5307	IgM	1	12
5308	IgM	1	12
5309	IgM	1	12
5310	IgM	1	12
5311	IgM	1	12
5312	IgM	1	12
5313	IgM	1	12
5314	IgM	1	12
5315	IgM	1	12
5375	IgM	1	12
5463	IgM	1	12
5464	IgM	1	12
5715	IgM	1	12
5716	IgM	1	12
5717	IgM	1	12
5718	IgM	1	12
5719	IgM	1	12
5720	IgM	1	12
5905	IgM|IgG	1	12
5906	IgM	1	12
6015	IgM	1	12
6016	IgM	1	12
6017	IgM	1	12
6168	IgM	1	12
6169	IgM	1	12
6170	IgM	1	12
6309	IgM	1	12
6327	IgM	1	12
6328	IgM	1	12
6329	IgM|IgG	1	12
6330	IgM	1	12
6331	IgM	1	12
6332	IgM	1	12
6333	IgM	1	12
6334	IgM	1	12
6447	IgM	1	12
6707	IgM	1	12
6897	IgM	1	12
6898	IgM	1	12
6899	IgM	1	12
6900	IgM	1	12
6901	IgM	1	12
6902	IgM	1	12
7099	IgM	1	12
7100	IgM	1	12
7101	IgM	1	12
7102	IgM	1	12
7103	IgM	1	12
7104	IgM	1	12
7105	IgM	1	12
7106	IgM	1	12
7107	IgM	1	12
7108	IgM	1	12
7109	IgM	1	12
7110	IgM	1	12
7111	IgM	1	12
7112	IgM	1	12
7113	IgM	1	12
7114	IgM	1	12
7115	IgM	1	12
7116	IgM	1	12
7117	IgM	1	12
7118	IgM	1	12
7119	IgM	1	12
7120	IgM	1	12
7121	IgM	1	12
7122	IgM	1	12
7123	IgM	1	12
7124	IgM	1	12
7125	IgM	1	12
7126	IgM	1	12
7127	IgM	1	12
7128	IgM	1	12
7129	IgM	1	12
7130	IgM	1	12
7413	IgM	1	12
7414	IgM	1	12
7415	IgM	1	12
7583	IgM	1	12
7584	IgM	1	12
7585	IgM	1	12
7586	IgM	1	12
7587	IgM	1	12
7588	IgM	1	12
7589	IgM	1	12
7590	IgM	1	12
7591	IgM	1	12
7592	IgM	1	12
7593	IgM	1	12
7594	IgM	1	12
7595	IgM	1	12
7596	IgM	1	12
7597	IgM	1	12
7598	IgM	1	12
7599	IgM	1	12
7600	IgM	1	12
7749	IgM	1	12
7750	IgM	1	12
7810	IgM	1	12
7811	IgM	1	12
7865	IgM	1	12
7880	IgM	1	12
7881	IgM	1	12
8040	IgM	1	12
8041	IgM	1	12
8090	IgM	1	12
8091	IgM	1	12
8092	IgM	1	12
8093	IgM	1	12
8141	IgM	1	12
8142	IgM	1	12
8143	IgM	1	12
8144	IgM	1	12
8159	IgM	1	12
8237	IgM	1	12
8412	IgM	1	12
8413	IgM	1	12
8414	IgM	1	12
8415	IgM|IgG	2	12
8416	IgM	1	12
8417	IgM	1	12
8418	IgM	1	12
8419	IgM	1	12
8420	IgM	1	12
8421	IgM	1	12
8422	IgM	1	12
8423	IgM	1	12
8424	IgM	1	12
8425	IgM	1	12
8426	IgM	1	12
8427	IgM	1	12
8428	IgM	1	12
8429	IgM	1	12
8430	IgM	1	12
8431	IgM	1	12
8432	IgM	1	12
8433	IgM	1	12
8434	IgM	1	12
8435	IgM	1	12
8436	IgM	1	12
8437	IgM	1	12
8438	IgM	1	12
8439	IgM	1	12
8440	IgM	1	12
8441	IgM	1	12
8442	IgM	1	12
8443	IgM	1	12
8444	IgM	1	12
8445	IgM	1	12
8446	IgM	1	12
8447	IgM	1	12
8644	IgM	1	12
8911	IgM	1	12
8912	IgM	1	12
8913	IgM	1	12
8914	IgM	1	12
8915	IgM	1	12
9377	IgM	1	12
9420	IgM	1	12
9421	IgM	1	12
9422	IgM	1	12
9652	IgM	1	12
9686	IgM	1	12
9690	IgM	1	12
9691	IgM	1	12
9692	IgM	1	12
9818	IgM	1	12
9819	IgM	1	12
9820	IgM	1	12
9821	IgM	1	12
9829	IgM	1	12
9830	IgM	1	12
9881	IgM	1	12
9882	IgM	1	12
9883	IgM	1	12
10583	IgM|IgG	1	12
10585	IgM	1	12
10586	IgM	1	12
10587	IgM	1	12
10588	IgM	1	12
10589	IgM	1	12
10590	IgM	1	12
10695	IgM	1	12
10696	IgM	1	12
10697	IgM	1	12
10698	IgM	1	12
