Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,10192,BM,645,0.009043093106948417
PBMC,10192,Spleen,1266,0.025833478792110315
PBMC,10192,Thymus,2527,0.017611447440836543
PBMC,10192,Tonsils,4471,0.020323262633840277
PBMC,10192,SLN,10562,0.029102823552086345
PBMC,10192,ALN,12468,0.028773168578993823
PBMC,10192,HLN,14225,0.0380882172257034
PBMC,10192,MLN,9620,0.03603876438522108
PBMC,10192,ILN,6307,0.024365113037153767
PBMC,10192,Gastric_cardia,1164,0.011976047904191617
PBMC,10192,Gastric_body,294,0.008773602899103566
PBMC,10192,Gastric_pylorus,505,0.009535383752453958
PBMC,10192,Duodenum,1389,0.01036179949917969
PBMC,10192,Jejunum,1473,0.01148735533647664
PBMC,10192,Ileum,1534,0.015350503155381204
PBMC,10192,Cecum,4425,0.026544434562495726
PBMC,10192,Ascending_colon,2094,0.02034836399153508
PBMC,10192,Transverse_colon,228,0.0005758157389635317
PBMC,10192,Descending_colon,894,0.014252209994587768
PBMC,10192,Sigmoid_colon,1220,0.0001752541184717841
PBMC,10192,Rectum,1872,0.016578249336870028
PBMC,10192,Liver,313,0.011803902903379343
PBMC,10192,Gallbladder,181,0.006362672322375398
PBMC,10192,Parotid_gland,223,0.004608737397983677
BM,645,Spleen,1266,0.09105180533751962
BM,645,Thymus,2527,0.0926860025220681
BM,645,Tonsils,4471,0.03831118060985145
BM,645,SLN,10562,0.025162844650664762
BM,645,ALN,12468,0.019522611149241212
BM,645,HLN,14225,0.017215870880968393
BM,645,MLN,9620,0.010326351680467609
BM,645,ILN,6307,0.0261795166858458
BM,645,Gastric_cardia,1164,0.03316749585406302
BM,645,Gastric_body,294,0.025559105431309903
BM,645,Gastric_pylorus,505,0.019130434782608695
BM,645,Duodenum,1389,0.01376597836774828
BM,645,Jejunum,1473,0.014164305949008499
BM,645,Ileum,1534,0.012849931161083065
BM,645,Cecum,4425,0.009467455621301775
BM,645,Ascending_colon,2094,0.06498722161372764
BM,645,Transverse_colon,228,0.002290950744558992
BM,645,Descending_colon,894,0.014294996751137101
BM,645,Sigmoid_colon,1220,0.0
BM,645,Rectum,1872,0.00874056416368693
BM,645,Liver,313,0.05636743215031315
BM,645,Gallbladder,181,0.043583535108958835
BM,645,Parotid_gland,223,0.03686635944700461
Spleen,1266,Thymus,2527,0.08700237279198524
Spleen,1266,Tonsils,4471,0.04950322468188949
Spleen,1266,SLN,10562,0.04548528914440311
Spleen,1266,ALN,12468,0.03771661569826707
Spleen,1266,HLN,14225,0.04454199212445936
Spleen,1266,MLN,9620,0.027374609590299467
Spleen,1266,ILN,6307,0.049914168757427706
Spleen,1266,Gastric_cardia,1164,0.03292181069958848
Spleen,1266,Gastric_body,294,0.015384615384615385
Spleen,1266,Gastric_pylorus,505,0.023715415019762844
Spleen,1266,Duodenum,1389,0.013559322033898305
Spleen,1266,Jejunum,1473,0.01533406352683461
Spleen,1266,Ileum,1534,0.017142857142857144
Spleen,1266,Cecum,4425,0.014760147601476014
Spleen,1266,Ascending_colon,2094,0.04880952380952381
Spleen,1266,Transverse_colon,228,0.0
Spleen,1266,Descending_colon,894,0.01574074074074074
Spleen,1266,Sigmoid_colon,1220,0.0008045052292839903
Spleen,1266,Rectum,1872,0.017208413001912046
Spleen,1266,Liver,313,0.07093096896770108
Spleen,1266,Gallbladder,181,0.03178991015894955
Spleen,1266,Parotid_gland,223,0.022834116856950974
Thymus,2527,Tonsils,4471,0.07030580165761646
Thymus,2527,SLN,10562,0.05592482236992895
Thymus,2527,ALN,12468,0.045881960653551185
Thymus,2527,HLN,14225,0.04297994269340974
Thymus,2527,MLN,9620,0.03194204330287314
Thymus,2527,ILN,6307,0.05229793977812995
Thymus,2527,Gastric_cardia,1164,0.044974261717691685
Thymus,2527,Gastric_body,294,0.022686990428925913
Thymus,2527,Gastric_pylorus,505,0.023746701846965697
Thymus,2527,Duodenum,1389,0.03472931562819203
Thymus,2527,Jejunum,1473,0.0395
Thymus,2527,Ileum,1534,0.03644422556020684
Thymus,2527,Cecum,4425,0.024453394706559262
Thymus,2527,Ascending_colon,2094,0.26487773209262067
Thymus,2527,Transverse_colon,228,0.0029038112522686023
Thymus,2527,Descending_colon,894,0.028061970184156678
Thymus,2527,Sigmoid_colon,1220,0.0
Thymus,2527,Rectum,1872,0.03046146851557172
Thymus,2527,Liver,313,0.02464788732394366
Thymus,2527,Gallbladder,181,0.022156573116691284
Thymus,2527,Parotid_gland,223,0.028363636363636365
Tonsils,4471,SLN,10562,0.05401450143018692
Tonsils,4471,ALN,12468,0.03801877324517386
Tonsils,4471,HLN,14225,0.04589216944801027
Tonsils,4471,MLN,9620,0.029806259314456036
Tonsils,4471,ILN,6307,0.046390796066060495
Tonsils,4471,Gastric_cardia,1164,0.026264418811002662
Tonsils,4471,Gastric_body,294,0.009233997901364113
Tonsils,4471,Gastric_pylorus,505,0.012861736334405145
Tonsils,4471,Duodenum,1389,0.043003412969283276
Tonsils,4471,Jejunum,1473,0.05148048452220727
Tonsils,4471,Ileum,1534,0.04129891756869276
Tonsils,4471,Cecum,4425,0.012140287769784174
Tonsils,4471,Ascending_colon,2094,0.040822543792840824
Tonsils,4471,Transverse_colon,228,0.00042562247286656737
Tonsils,4471,Descending_colon,894,0.00820130475302889
Tonsils,4471,Sigmoid_colon,1220,0.0003514320857494289
Tonsils,4471,Rectum,1872,0.010089862840927007
Tonsils,4471,Liver,313,0.010869565217391304
Tonsils,4471,Gallbladder,181,0.009888220120378332
Tonsils,4471,Parotid_gland,223,0.013208351086493396
