Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,25441,BM,8597,0.025500910746812388
PBMC,25441,Spleen,10108,0.05806070494247377
PBMC,25441,Thymus,8070,0.0303780848079735
PBMC,25441,Tonsils,14847,0.031225178713264495
PBMC,25441,SLN,16421,0.03148440112751422
PBMC,25441,ALN,17839,0.03304066543438078
PBMC,25441,HLN,36726,0.04275580291794682
PBMC,25441,MLN,38461,0.04744765422052518
PBMC,25441,ILN,12652,0.03491455122988476
PBMC,25441,Gastric_cardia,5847,0.04442597801073894
PBMC,25441,Gastric_body,1824,0.03697047496790758
PBMC,25441,Gastric_pylorus,6249,0.025055222467655413
PBMC,25441,Duodenum,5128,0.04403153521541431
PBMC,25441,Jejunum,4720,0.035940452902755216
PBMC,25441,Ileum,7234,0.05741392501912777
PBMC,25441,Cecum,9541,0.046595391915842437
PBMC,25441,Ascending_colon,5080,0.033354084073261035
PBMC,25441,Transverse_colon,4934,0.04319341563786008
PBMC,25441,Descending_colon,5564,0.037993871956136106
PBMC,25441,Sigmoid_colon,7572,0.0638536334171387
PBMC,25441,Rectum,6287,0.03605648008068583
PBMC,25441,Liver,1288,0.015413969845486175
PBMC,25441,Gallbladder,899,0.015186028853454821
PBMC,25441,Parotid_gland,1374,0.009770650755174342
BM,8597,Spleen,10108,0.10392943063352045
BM,8597,Thymus,8070,0.09731805363892722
BM,8597,Tonsils,14847,0.07805835181709606
BM,8597,SLN,16421,0.0773043408745703
BM,8597,ALN,17839,0.04637615372976245
BM,8597,HLN,36726,0.06191117092866756
BM,8597,MLN,38461,0.028773003527561732
BM,8597,ILN,12652,0.06353240152477764
BM,8597,Gastric_cardia,5847,0.02284685682636389
BM,8597,Gastric_body,1824,0.02341425966797812
BM,8597,Gastric_pylorus,6249,0.09335848039876062
BM,8597,Duodenum,5128,0.017632058287795994
BM,8597,Jejunum,4720,0.01306600585717504
BM,8597,Ileum,7234,0.02539321584233466
BM,8597,Cecum,9541,0.01951703605689712
BM,8597,Ascending_colon,5080,0.026467792644585802
BM,8597,Transverse_colon,4934,0.022614736530928978
BM,8597,Descending_colon,5564,0.02118494456606172
BM,8597,Sigmoid_colon,7572,0.03314985466015214
BM,8597,Rectum,6287,0.01719967750604676
BM,8597,Liver,1288,0.05240263024785028
BM,8597,Gallbladder,899,0.014743049705139006
BM,8597,Parotid_gland,1374,0.0804332564436867
Spleen,10108,Thymus,8070,0.06777423258884366
Spleen,10108,Tonsils,14847,0.0661991584852735
Spleen,10108,SLN,16421,0.07538919672810886
Spleen,10108,ALN,17839,0.07600100189644685
Spleen,10108,HLN,36726,0.0686253576461545
Spleen,10108,MLN,38461,0.034960571557989664
Spleen,10108,ILN,12652,0.09534270650263621
Spleen,10108,Gastric_cardia,5847,0.04450015669069257
Spleen,10108,Gastric_body,1824,0.02128729466979551
Spleen,10108,Gastric_pylorus,6249,0.0467078315094455
Spleen,10108,Duodenum,5128,0.026647414019427672
Spleen,10108,Jejunum,4720,0.0283247909360669
Spleen,10108,Ileum,7234,0.03517472033214162
Spleen,10108,Cecum,9541,0.022494783449539417
Spleen,10108,Ascending_colon,5080,0.027916776402422964
Spleen,10108,Transverse_colon,4934,0.025395559101183355
Spleen,10108,Descending_colon,5564,0.021694742215416028
Spleen,10108,Sigmoid_colon,7572,0.024434389140271493
Spleen,10108,Rectum,6287,0.021103995120463556
Spleen,10108,Liver,1288,0.05510705510705511
Spleen,10108,Gallbladder,899,0.02580176251476333
Spleen,10108,Parotid_gland,1374,0.05870057481275039
Thymus,8070,Tonsils,14847,0.07426801064711785
Thymus,8070,SLN,16421,0.06647339839124576
Thymus,8070,ALN,17839,0.057200200702458605
Thymus,8070,HLN,36726,0.052415394231627825
Thymus,8070,MLN,38461,0.032752358642625344
Thymus,8070,ILN,12652,0.06814014091303928
Thymus,8070,Gastric_cardia,5847,0.04368757634547676
Thymus,8070,Gastric_body,1824,0.032949262179098444
Thymus,8070,Gastric_pylorus,6249,0.06006006006006006
Thymus,8070,Duodenum,5128,0.05288680103045916
Thymus,8070,Jejunum,4720,0.054104769351055515
Thymus,8070,Ileum,7234,0.05802404600104548
Thymus,8070,Cecum,9541,0.03236613480211232
Thymus,8070,Ascending_colon,5080,0.11361216730038023
Thymus,8070,Transverse_colon,4934,0.02922177791448785
Thymus,8070,Descending_colon,5564,0.03197887633856535
Thymus,8070,Sigmoid_colon,7572,0.03324383071218514
Thymus,8070,Rectum,6287,0.03134359545866128
Thymus,8070,Liver,1288,0.030775806796324003
Thymus,8070,Gallbladder,899,0.028765748689931987
Thymus,8070,Parotid_gland,1374,0.04701397712833545
Tonsils,14847,SLN,16421,0.07643597287962134
Tonsils,14847,ALN,17839,0.06437006669522119
Tonsils,14847,HLN,36726,0.06103969131134508
Tonsils,14847,MLN,38461,0.027725669693104225
Tonsils,14847,ILN,12652,0.08153023746318049
Tonsils,14847,Gastric_cardia,5847,0.031313424180922006
Tonsils,14847,Gastric_body,1824,0.016435726711055126
Tonsils,14847,Gastric_pylorus,6249,0.1080773606370876
Tonsils,14847,Duodenum,5128,0.023329161451814767
Tonsils,14847,Jejunum,4720,0.021669136811979354
Tonsils,14847,Ileum,7234,0.024727140980933836
Tonsils,14847,Cecum,9541,0.02066590126291619
Tonsils,14847,Ascending_colon,5080,0.02800220805941687
Tonsils,14847,Transverse_colon,4934,0.01840149638542035
Tonsils,14847,Descending_colon,5564,0.01744157562098868
Tonsils,14847,Sigmoid_colon,7572,0.022480931352870333
Tonsils,14847,Rectum,6287,0.017885871108166935
Tonsils,14847,Liver,1288,0.01660985435388906
Tonsils,14847,Gallbladder,899,0.012320589356026928
Tonsils,14847,Parotid_gland,1374,0.027125331360581963
SLN,16421,ALN,17839,0.10122591943957969
SLN,16421,HLN,36726,0.09904604210962048
SLN,16421,MLN,38461,0.038336795306293504
SLN,16421,ILN,12652,0.10937983696212981
SLN,16421,Gastric_cardia,5847,0.02883060894557212
