Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,3580,BM,125,0.029149797570850202
PBMC,3580,Spleen,2093,0.06169575180680416
PBMC,3580,Thymus,6007,0.005424011682486701
PBMC,3580,Tonsils,10729,0.029631700328464603
PBMC,3580,SLN,7025,0.03319189061763319
PBMC,3580,ALN,9500,0.02966360856269113
PBMC,3580,HLN,5150,0.03276059564719359
PBMC,3580,MLN,7507,0.03481554974294218
PBMC,3580,ILN,8454,0.036230679740734587
PBMC,3580,Gastric_cardia,1700,0.015909090909090907
PBMC,3580,Gastric_body,485,0.02017220172201722
PBMC,3580,Gastric_pylorus,96,0.007616974972796518
PBMC,3580,Duodenum,1455,0.03535253227408143
PBMC,3580,Jejunum,236,0.013626834381551363
PBMC,3580,Ileum,191,0.012198355873773535
PBMC,3580,Cecum,318,0.011287839917906618
PBMC,3580,Ascending_colon,604,0.016252390057361378
PBMC,3580,Transverse_colon,231,0.017318289162949356
PBMC,3580,Descending_colon,508,0.018101761252446183
PBMC,3580,Sigmoid_colon,399,0.01910027645136969
PBMC,3580,Rectum,483,0.01968988432192961
BM,125,Spleen,2093,0.020739404869251576
BM,125,Thymus,6007,0.0016307893020221786
BM,125,Tonsils,10729,0.004975124378109453
BM,125,SLN,7025,0.0033566433566433566
BM,125,ALN,9500,0.0035324675324675324
BM,125,HLN,5150,0.0037914691943127963
BM,125,MLN,7507,0.004454926624737945
BM,125,ILN,8454,0.004895675486653456
BM,125,Gastric_cardia,1700,0.006575342465753425
BM,125,Gastric_body,485,0.036065573770491806
BM,125,Gastric_pylorus,96,0.04524886877828054
BM,125,Duodenum,1455,0.016455696202531647
BM,125,Jejunum,236,0.060941828254847646
BM,125,Ileum,191,0.08227848101265822
BM,125,Cecum,318,0.009029345372460496
BM,125,Ascending_colon,604,0.01646090534979424
BM,125,Transverse_colon,231,0.02247191011235955
BM,125,Descending_colon,508,0.018957345971563982
BM,125,Sigmoid_colon,399,0.030534351145038167
BM,125,Rectum,483,0.019736842105263157
Spleen,2093,Thymus,6007,0.007654320987654321
Spleen,2093,Tonsils,10729,0.03228825456247075
Spleen,2093,SLN,7025,0.041237113402061855
Spleen,2093,ALN,9500,0.036918830328646596
Spleen,2093,HLN,5150,0.04335220212619081
Spleen,2093,MLN,7507,0.034375
Spleen,2093,ILN,8454,0.03849435858537973
Spleen,2093,Gastric_cardia,1700,0.022673345636699184
Spleen,2093,Gastric_body,485,0.030256012412723042
Spleen,2093,Gastric_pylorus,96,0.013704888076747372
Spleen,2093,Duodenum,1455,0.03720405862457723
Spleen,2093,Jejunum,236,0.020609703735508803
Spleen,2093,Ileum,191,0.02276707530647986
Spleen,2093,Cecum,318,0.01907922024056408
Spleen,2093,Ascending_colon,604,0.0192806822395254
Spleen,2093,Transverse_colon,231,0.024096385542168676
Spleen,2093,Descending_colon,508,0.031526336024605923
Spleen,2093,Sigmoid_colon,399,0.03130016051364366
Spleen,2093,Rectum,483,0.026397515527950312
Thymus,6007,Tonsils,10729,0.009201720841300191
Thymus,6007,SLN,7025,0.00798035604665439
Thymus,6007,ALN,9500,0.007093570645514928
Thymus,6007,HLN,5150,0.007349645962176212
Thymus,6007,MLN,7507,0.007251738937398253
Thymus,6007,ILN,8454,0.008436484337182767
Thymus,6007,Gastric_cardia,1700,0.0036330608537693005
Thymus,6007,Gastric_body,485,0.0027726432532347504
Thymus,6007,Gastric_pylorus,96,0.0016385384237260364
Thymus,6007,Duodenum,1455,0.004824443848834093
Thymus,6007,Jejunum,236,0.0012814352074323242
Thymus,6007,Ileum,191,0.000968054211035818
Thymus,6007,Cecum,318,0.0025296442687747036
Thymus,6007,Ascending_colon,604,0.0033277870216306157
Thymus,6007,Transverse_colon,231,0.0016030779095864058
Thymus,6007,Descending_colon,508,0.00214888718342287
Thymus,6007,Sigmoid_colon,399,0.0031220730565095223
Thymus,6007,Rectum,483,0.0015408320493066256
Tonsils,10729,SLN,7025,0.04179339867072209
Tonsils,10729,ALN,9500,0.039942656582134556
Tonsils,10729,HLN,5150,0.03778575477045154
Tonsils,10729,MLN,7507,0.02643123491993858
Tonsils,10729,ILN,8454,0.049418756190376896
Tonsils,10729,Gastric_cardia,1700,0.014321345240968703
Tonsils,10729,Gastric_body,485,0.008025682182985553
Tonsils,10729,Gastric_pylorus,96,0.003325635103926097
