Tissue_1,Tissue_1_nCDR3aaVJ,Tissue_2,Tissue_2_nCDR3aaVJ,Similarity score
PBMC,10919,BM,210,0.010602929283852997
PBMC,10919,Spleen,3978,0.043230180573269786
PBMC,10919,Thymus,38273,0.012075134168157423
PBMC,10919,Tonsils,17822,0.0355589575867228
PBMC,10919,SLN,27551,0.037535742136729916
PBMC,10919,ALN,28586,0.035641058093912166
PBMC,10919,HLN,22319,0.033094650701004875
PBMC,10919,MLN,21259,0.038162719870719126
PBMC,10919,ILN,21817,0.039467253176930596
PBMC,10919,Gastric_cardia,3819,0.02781924277378206
PBMC,10919,Gastric_body,2967,0.03125450093619473
PBMC,10919,Gastric_pylorus,5235,0.035037761545128145
PBMC,10919,Duodenum,3216,0.03141139016625398
PBMC,10919,Jejunum,1156,0.014575569358178053
PBMC,10919,Ileum,2641,0.022271386430678466
PBMC,10919,Cecum,3367,0.020719585608287835
PBMC,10919,Ascending_colon,3884,0.024724717962575155
PBMC,10919,Transverse_colon,2373,0.0255792958170328
PBMC,10919,Descending_colon,1843,0.022410280520294625
PBMC,10919,Sigmoid_colon,2930,0.022673117192577082
PBMC,10919,Rectum,2779,0.02774127609870054
BM,210,Spleen,3978,0.012893982808022923
BM,210,Thymus,38273,0.0005716810020008835
BM,210,Tonsils,17822,0.00354924578527063
BM,210,SLN,27551,0.0012967832570872806
BM,210,ALN,28586,0.0016668981803028198
BM,210,HLN,22319,0.0015979404323316613
BM,210,MLN,21259,0.002328939400996786
BM,210,ILN,21817,0.0023607390929314023
BM,210,Gastric_cardia,3819,0.004467609828741623
BM,210,Gastric_body,2967,0.010072395341517154
BM,210,Gastric_pylorus,5235,0.004407713498622589
BM,210,Duodenum,3216,0.0099241097489784
BM,210,Jejunum,1156,0.021961932650073207
BM,210,Ileum,2641,0.012627148368993335
BM,210,Cecum,3367,0.0033547665641599105
BM,210,Ascending_colon,3884,0.004885197850512946
BM,210,Transverse_colon,2373,0.006968641114982578
BM,210,Descending_colon,1843,0.01071602532878714
BM,210,Sigmoid_colon,2930,0.0070063694267515925
BM,210,Rectum,2779,0.008029441284710606
Spleen,3978,Thymus,38273,0.007053087500887553
Spleen,3978,Tonsils,17822,0.02871559633027523
Spleen,3978,SLN,27551,0.02537346569824606
Spleen,3978,ALN,28586,0.023522908733570814
Spleen,3978,HLN,22319,0.02623873445640187
Spleen,3978,MLN,21259,0.02726156040733843
Spleen,3978,ILN,21817,0.02783485171544873
Spleen,3978,Gastric_cardia,3819,0.030268051814800565
Spleen,3978,Gastric_body,2967,0.0783297336213103
Spleen,3978,Gastric_pylorus,5235,0.028655161185281667
Spleen,3978,Duodenum,3216,0.04392549346677787
Spleen,3978,Jejunum,1156,0.03428126217374367
Spleen,3978,Ileum,2641,0.04502190663242182
Spleen,3978,Cecum,3367,0.043567052416609936
Spleen,3978,Ascending_colon,3884,0.03561434749427626
Spleen,3978,Transverse_colon,2373,0.04503227838135727
Spleen,3978,Descending_colon,1843,0.03916852774437382
Spleen,3978,Sigmoid_colon,2930,0.04806022003474233
Spleen,3978,Rectum,2779,0.03670267870356667
Thymus,38273,Tonsils,17822,0.016828594348872447
Thymus,38273,SLN,27551,0.021663830821584833
Thymus,38273,ALN,28586,0.023063461912382777
Thymus,38273,HLN,22319,0.02181806179033536
Thymus,38273,MLN,21259,0.020291607874756434
Thymus,38273,ILN,21817,0.020635713097021134
Thymus,38273,Gastric_cardia,3819,0.007364819918274256
Thymus,38273,Gastric_body,2967,0.005819592628516004
Thymus,38273,Gastric_pylorus,5235,0.009239680058839754
Thymus,38273,Duodenum,3216,0.0055918436212008
Thymus,38273,Jejunum,1156,0.002434756143954957
Thymus,38273,Ileum,2641,0.005328249498949015
Thymus,38273,Cecum,3367,0.00643611911623439
Thymus,38273,Ascending_colon,3884,0.005882771544464739
Thymus,38273,Transverse_colon,2373,0.004674506716528071
Thymus,38273,Descending_colon,1843,0.003539734769169409
Thymus,38273,Sigmoid_colon,2930,0.006310220129602214
Thymus,38273,Rectum,2779,0.005018025918347462
Tonsils,17822,SLN,27551,0.039627091001256255
Tonsils,17822,ALN,28586,0.0368901913463196
Tonsils,17822,HLN,22319,0.032435664283401014
Tonsils,17822,MLN,21259,0.027686087868785344
Tonsils,17822,ILN,21817,0.04207976992356013
Tonsils,17822,Gastric_cardia,3819,0.02356637863315004
Tonsils,17822,Gastric_body,2967,0.016643417191784117
Tonsils,17822,Gastric_pylorus,5235,0.024894825866331266
Tonsils,17822,Duodenum,3216,0.01559083563076338
Tonsils,17822,Jejunum,1156,0.005374644325007904
Tonsils,17822,Ileum,2641,0.008503152030494062
Tonsils,17822,Cecum,3367,0.01208174052574449
Tonsils,17822,Ascending_colon,3884,0.012346816548419792
Tonsils,17822,Transverse_colon,2373,0.011289923248328794
Tonsils,17822,Descending_colon,1843,0.011187388761759471
Tonsils,17822,Sigmoid_colon,2930,0.0132035466461064
Tonsils,17822,Rectum,2779,0.014465317217610796
SLN,27551,ALN,28586,0.05525767319236867
SLN,27551,HLN,22319,0.05009023460998596
SLN,27551,MLN,21259,0.038557672608072115
SLN,27551,ILN,21817,0.057446118943445146
SLN,27551,Gastric_cardia,3819,0.016703857188396558
SLN,27551,Gastric_body,2967,0.01658037879284357
SLN,27551,Gastric_pylorus,5235,0.026840724699566887
SLN,27551,Duodenum,3216,0.013130951994019566
SLN,27551,Jejunum,1156,0.0053645452328700315
SLN,27551,Ileum,2641,0.01026762056173821
SLN,27551,Cecum,3367,0.01229057506953878
SLN,27551,Ascending_colon,3884,0.012915540003181167
SLN,27551,Transverse_colon,2373,0.010693757519048256
SLN,27551,Descending_colon,1843,0.0068041096822480775
SLN,27551,Sigmoid_colon,2930,0.011679406843607493
SLN,27551,Rectum,2779,0.012396966699637323
ALN,28586,HLN,22319,0.044867891169826146
ALN,28586,MLN,21259,0.03217975724746715
ALN,28586,ILN,21817,0.0626550006944031
ALN,28586,Gastric_cardia,3819,0.015121123283443913
ALN,28586,Gastric_body,2967,0.014134947548569074
ALN,28586,Gastric_pylorus,5235,0.02111114396380947
ALN,28586,Duodenum,3216,0.0111313753851959
ALN,28586,Jejunum,1156,0.004639903167238249
ALN,28586,Ileum,2641,0.009158740833253274
ALN,28586,Cecum,3367,0.010765812286796232
ALN,28586,Ascending_colon,3884,0.011518324607329843
ALN,28586,Transverse_colon,2373,0.008785813495267934
ALN,28586,Descending_colon,1843,0.007492852213349108
ALN,28586,Sigmoid_colon,2930,0.01040741210813555
ALN,28586,Rectum,2779,0.010329985652797705
HLN,22319,MLN,21259,0.03850566799761347
HLN,22319,ILN,21817,0.0497099873119449
HLN,22319,Gastric_cardia,3819,0.02073609304460938
HLN,22319,Gastric_body,2967,0.019773787866803765
HLN,22319,Gastric_pylorus,5235,0.027074109022283514
HLN,22319,Duodenum,3216,0.016682984139416487
HLN,22319,Jejunum,1156,0.007156549520766773
HLN,22319,Ileum,2641,0.015064102564102564
HLN,22319,Cecum,3367,0.01619559293000078
HLN,22319,Ascending_colon,3884,0.015265427622791284
HLN,22319,Transverse_colon,2373,0.01538959987040337
HLN,22319,Descending_colon,1843,0.011091797036669149
HLN,22319,Sigmoid_colon,2930,0.016475900035644975
HLN,22319,Rectum,2779,0.013228145668977608
MLN,21259,ILN,21817,0.034915033893583435
MLN,21259,Gastric_cardia,3819,0.02488236701491347
MLN,21259,Gastric_body,2967,0.02311566086023281
MLN,21259,Gastric_pylorus,5235,0.025439722201253113
MLN,21259,Duodenum,3216,0.046006128702757915
MLN,21259,Jejunum,1156,0.024894044166852553
MLN,21259,Ileum,2641,0.03606694560669456
MLN,21259,Cecum,3367,0.028425241614553724
MLN,21259,Ascending_colon,3884,0.02855665592809132
MLN,21259,Transverse_colon,2373,0.027505077860528096
MLN,21259,Descending_colon,1843,0.02493290624188382
MLN,21259,Sigmoid_colon,2930,0.02695440076067634
MLN,21259,Rectum,2779,0.029786171894500373
ILN,21817,Gastric_cardia,3819,0.017241379310344827
ILN,21817,Gastric_body,2967,0.017269205939315687
ILN,21817,Gastric_pylorus,5235,0.02254916457193553
ILN,21817,Duodenum,3216,0.015419646067191307
ILN,21817,Jejunum,1156,0.005832934314194924
ILN,21817,Ileum,2641,0.011775288249243602
ILN,21817,Cecum,3367,0.013421219822109276
ILN,21817,Ascending_colon,3884,0.013540329170071204
ILN,21817,Transverse_colon,2373,0.012567176519222819
ILN,21817,Descending_colon,1843,0.008875739644970414
ILN,21817,Sigmoid_colon,2930,0.014223946336929728
ILN,21817,Rectum,2779,0.012115791185558628
Gastric_cardia,3819,Gastric_body,2967,0.09048040082522842
Gastric_cardia,3819,Gastric_pylorus,5235,0.039761431411530816
Gastric_cardia,3819,Duodenum,3216,0.04093816631130064
Gastric_cardia,3819,Jejunum,1156,0.02291457286432161
Gastric_cardia,3819,Ileum,2641,0.02848297213622291
Gastric_cardia,3819,Cecum,3367,0.02922349011967715
Gastric_cardia,3819,Ascending_colon,3884,0.026483188368168247
Gastric_cardia,3819,Transverse_colon,2373,0.03682170542635659
Gastric_cardia,3819,Descending_colon,1843,0.03496997527375486
Gastric_cardia,3819,Sigmoid_colon,2930,0.036153504222847826
Gastric_cardia,3819,Rectum,2779,0.04274022431039709
Gastric_body,2967,Gastric_pylorus,5235,0.0792489636673982
Gastric_body,2967,Duodenum,3216,0.05304868186964257
Gastric_body,2967,Jejunum,1156,0.03783652680087315
Gastric_body,2967,Ileum,2641,0.05991440798858773
Gastric_body,2967,Cecum,3367,0.06062519734764762
Gastric_body,2967,Ascending_colon,3884,0.053714786162604
Gastric_body,2967,Transverse_colon,2373,0.06591760299625468
Gastric_body,2967,Descending_colon,1843,0.05654885654885655
Gastric_body,2967,Sigmoid_colon,2930,0.06681363405121248
Gastric_body,2967,Rectum,2779,0.05325443786982249
Gastric_pylorus,5235,Duodenum,3216,0.033132173707253576
