	Immune related	Gastric	Small intestine	Large intestine
PBMC	1811.4166666666629	246.5833333333338	147.08333333333331	261.916666666667
BM	69.08333333333333	8.416666666666666	13.583333333333334	6.916666666666666
Spleen	845.6666666666675	187.50000000000014	103.16666666666661	156.66666666666666
Thymus	2330.333333333332	220.16666666666688	109.1666666666666	220.33333333333354
Tonsils	2384.3333333333317	317.99999999999994	108.49999999999993	222.1666666666669
SLN	3858.916666666675	424.0833333333327	146.58333333333334	310.41666666666663
ALN	3775.916666666673	348.0833333333329	128.7499999999999	286.25
HLN	2989.833333333339	368.1666666666661	165.83333333333334	300.16666666666674
MLN	2459.4166666666665	369.7499999999995	595.2499999999998	642.5833333333338
ILN	3418.083333333338	300.5833333333333	148.24999999999994	268.0833333333336
Gastric_cardia	670.0000000000006	241.33333333333368	80.49999999999999	155.1666666666667
Gastric_body	551.7499999999998	327.08333333333303	111.74999999999984	207.41666666666703
Gastric_pylorus	987.9166666666687	219.91666666666697	99.74999999999986	228.416666666667
Duodenum	660.6666666666671	129.66666666666643	368.833333333333	154.8333333333334
Jejunum	249.33333333333354	50.833333333333364	342.1666666666664	67.6666666666667
Ileum	485.08333333333223	114.24999999999983	360.24999999999966	226.41666666666703
Cecum	473.24999999999926	140.2499999999998	113.2499999999999	624.2500000000001
Ascending_colon	504.9166666666659	143.41666666666663	112.74999999999991	671.9166666666671
Transverse_colon	364.66666666666634	122.66666666666649	98.6666666666666	619.0000000000001
Descending_colon	304.91666666666663	106.41666666666654	83.0833333333333	455.5833333333327
Sigmoid_colon	405.41666666666623	133.41666666666654	119.24999999999989	609.9166666666669
Rectum	436.3333333333327	133.66666666666652	88.49999999999999	549.4999999999995
