Tissue	# Shared clone	# Unshared clone	# All clone
PBMC	2467	8452	10919
BM	2506	8564	11070
Spleen	1293	2685	3978
Thymus	2880	35393	38273
Tonsils	3033	14789	17822
SLN	4740	22811	27551
ALN	4539	24047	28586
HLN	3824	18495	22319
MLN	4067	17192	21259
ILN	4135	17682	21817
Gastric_cardia	1147	2672	3819
Gastric_body	1198	1769	2967
Gastric_pylorus	1536	3699	5235
Duodenum	1314	1902	3216
Jejunum	710	446	1156
Ileum	1186	1455	2641
Cecum	1351	2016	3367
Ascending_colon	1433	2451	3884
Transverse_colon	1205	1168	2373
Descending_colon	950	893	1843
Sigmoid_colon	1268	1662	2930
Rectum	1208	1571	2779
