Length	Ratio	Group
5	0.011293373613032552	Total
6	0.018351732121177897	Total
7	0.5180835144978684	Total
8	0.9359383381800729	Total
9	1.0559304328185437	Total
10	1.915638499110647	Total
11	3.6491713487111435	Total
12	5.530929726982693	Total
13	7.864423049775544	Total
14	9.307151528840453	Total
15	11.681583330980546	Total
16	11.577119625059996	Total
17	10.536717580959372	Total
18	8.623902425251984	Total
19	7.147293825347976	Total
20	5.492814591038709	Total
21	4.2999520031621445	Total
22	3.3781303819983624	Total
23	2.3151415906716735	Total
24	1.427200090346989	Total
25	2.713233010531071	Total
6	0.07342143906020558	Inter-individual
7	3.3773861967694567	Inter-individual
8	3.15712187958884	Inter-individual
9	2.4229074889867843	Inter-individual
10	4.552129221732746	Inter-individual
11	6.607929515418502	Inter-individual
12	5.4331864904552125	Inter-individual
13	8.002936857562409	Inter-individual
14	6.828193832599119	Inter-individual
15	6.167400881057269	Inter-individual
16	4.552129221732746	Inter-individual
17	19.676945668135097	Inter-individual
18	14.61086637298091	Inter-individual
19	7.488986784140969	Inter-individual
20	2.2026431718061676	Inter-individual
21	3.0837004405286343	Inter-individual
22	1.0279001468428781	Inter-individual
23	0.4405286343612335	Inter-individual
25	0.2936857562408223	Inter-individual
7	100.0	Inter-individual-RAPID
6	0.03469210754553339	RAPID
7	0.12142237640936687	RAPID
8	0.4683434518647007	RAPID
9	0.6938421509106678	RAPID
10	1.2142237640936688	RAPID
11	2.515177797051171	RAPID
12	4.111014744145707	RAPID
13	6.175195143104943	RAPID
14	7.042497831743279	RAPID
15	8.690372940156115	RAPID
16	10.719861231569817	RAPID
17	10.511708586296617	RAPID
18	9.002601908065914	RAPID
19	7.458803122289679	RAPID
20	7.2333044232437125	RAPID
21	5.654813529921943	RAPID
22	5.342584562012142	RAPID
23	4.319167389418907	RAPID
24	3.0008673026886385	RAPID
25	5.689505637467477	RAPID
