Length	Ratio	Group
<= 5	0.010002000400080016	All
7	0.10002000400080016	All
8	0.40008001600320064	All
9	0.4300860172034407	All
10	1.1302260452090418	All
11	2.2504500900180036	All
12	3.580716143228646	All
13	5.9211842368473695	All
14	7.561512302460492	All
15	9.571914382876576	All
16	11.022204440888178	All
17	10.852170434086817	All
18	9.141828365673135	All
19	8.631726345269055	All
20	7.701540308061612	All
21	6.59131826365273	All
22	4.590918183636727	All
23	3.6907381476295256	All
24	2.480496099219844	All
>= 25	4.340868173634727	All
<= 5	0.1449125349342718	Public
6	0.26912327916364764	Public
7	3.809129489700859	Public
8	6.510713176689784	Public
9	4.740710071421178	Public
10	8.404927026187766	Public
11	12.959320981264879	Public
12	8.570541351826932	Public
13	10.464755201324914	Public
14	12.110547562364145	Public
15	10.754580271193458	Public
16	7.680364351516405	Public
17	4.502639478314874	Public
18	3.695269640823931	Public
19	2.453162198530173	Public
20	1.1282475934168306	Public
21	0.786668046786047	Public
22	0.46579029086015944	Public
23	0.31052686057343964	Public
24	0.11385984887692785	Public
>= 25	0.12421074422937584	Public
