Gene	Individual	Individual2
1-138	0.009397762358059333	2
1-60	6.600400382785764e-25	3
1-84	7.489573692281684e-35	3
2-69	2.4507898200087263e-31	3
3-122	3.626000996511596e-13	3
3-177	1.9725870922214134e-33	3
3-50	2.108636562271292e-09	3
3-76	6.582402078410286e-23	3
3-88	1.242746183485514e-15	3
3-NL_10	1.5605523295398886e-25	3
3-NL_17	5.635368128374674e-06	3
4-117	2.0077714716048562e-46	3
4-144	0.011488103027918995	1
4-149	3.8822478239149717e-51	3
4-150	1.625915687846255e-62	3
4-67	2.228856623126243e-86	3
4-72	1.1673888915185808e-57	3
4-93	6.386533691877996e-62	3
4-NL_1	1.5517420759801138e-14	3
4-NL_10	6.7991968655319065e-53	3
4-NL_13	9.768378987798073e-17	3
4-NL_16	4.989782535907046e-74	3
4-NL_17	2.189509315944213e-49	3
4-NL_21	4.3769582016058764e-60	3
4-NL_22	5.340486096105067e-36	3
4-NL_25	5.36096572869612e-60	3
4-NL_27	3.066498586067303e-22	3
4-NL_28	1.6727278366145825e-40	3
4-NL_29	5.069478104757335e-51	3
4-NL_3	6.020572773446125e-82	3
4-NL_31	3.978462427197249e-72	3
4-NL_32	2.896624114519517e-61	3
4-NL_33	3.9072264707386904e-59	3
4-NL_36	1.602916143755969e-66	3
4-NL_4	3.081579929041929e-74	3
4-NL_41	2.6602066317353277e-41	3
4-NL_42	2.055461879769554e-46	3
4-NL_5	2.0716754097263562e-44	3
4-NL_9	1.7449356000778024e-19	3
6-1	1.9620248999560573e-25	3
