Gene	Usage	Isotype	Sample	Time	Min_num
IGHV4-NL_3	0.12101910828025478	IgM	data-IgM	-1	-1
IGHV4-NL_10	0.07261146496815286	IgM	data-IgM	-1	-1
IGHV4-149	0.06751592356687898	IgM	data-IgM	-1	-1
IGHV4-144	0.05605095541401274	IgM	data-IgM	-1	-1
IGHV4-NL_4	0.048407643312101914	IgM	data-IgM	-1	-1
IGHV4-NL_29	0.04331210191082802	IgM	data-IgM	-1	-1
IGHV3-88	0.03821656050955414	IgM	data-IgM	-1	-1
IGHV4-NL_21	0.03184713375796178	IgM	data-IgM	-1	-1
IGHV4-NL_28	0.02929936305732484	IgM	data-IgM	-1	-1
IGHV4-NL_1	0.02802547770700637	IgM	data-IgM	-1	-1
IGHV4-117	0.025477707006369428	IgM	data-IgM	-1	-1
IGHV3-NL_17	0.025477707006369428	IgM	data-IgM	-1	-1
IGHV4-NL_12	0.024203821656050957	IgM	data-IgM	-1	-1
IGHV4-93	0.024203821656050957	IgM	data-IgM	-1	-1
IGHV4-NL_16	0.022929936305732482	IgM	data-IgM	-1	-1
IGHV4-NL_22	0.022929936305732482	IgM	data-IgM	-1	-1
IGHV4-NL_36	0.01910828025477707	IgM	data-IgM	-1	-1
IGHV4-NL_25	0.01910828025477707	IgM	data-IgM	-1	-1
IGHV4-NL_27	0.017834394904458598	IgM	data-IgM	-1	-1
IGHV3-177	0.017834394904458598	IgM	data-IgM	-1	-1
IGHV2-69	0.017834394904458598	IgM	data-IgM	-1	-1
IGHV4-NL_13	0.017834394904458598	IgM	data-IgM	-1	-1
IGHV4-NL_33	0.017834394904458598	IgM	data-IgM	-1	-1
IGHV3-NL_10	0.016560509554140127	IgM	data-IgM	-1	-1
IGHV3-NL_19	0.015286624203821656	IgM	data-IgM	-1	-1
IGHV1-138	0.014012738853503185	IgM	data-IgM	-1	-1
IGHV3-9	0.012738853503184714	IgM	data-IgM	-1	-1
IGHV3-52	0.012738853503184714	IgM	data-IgM	-1	-1
IGHV6-1	0.011464968152866241	IgM	data-IgM	-1	-1
IGHV3-187	0.01019108280254777	IgM	data-IgM	-1	-1
IGHV3-50	0.008917197452229299	IgM	data-IgM	-1	-1
IGHV3-152	0.008917197452229299	IgM	data-IgM	-1	-1
IGHV3-NL_11	0.007643312101910828	IgM	data-IgM	-1	-1
IGHV3-NL_9	0.007643312101910828	IgM	data-IgM	-1	-1
IGHV3-36	0.007643312101910828	IgM	data-IgM	-1	-1
IGHV4-150	0.005095541401273885	IgM	data-IgM	-1	-1
IGHV3-94	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV5-15	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV3-128	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV4-NL_5	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV3-122	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV4-NL_9	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV3-NL_1	0.003821656050955414	IgM	data-IgM	-1	-1
IGHV3-73	0.0025477707006369425	IgM	data-IgM	-1	-1
IGHV4-67	0.0025477707006369425	IgM	data-IgM	-1	-1
IGHV4-NL_6	0.0025477707006369425	IgM	data-IgM	-1	-1
IGHV4-NL_37	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV5-157	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-37	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV4-NL_42	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV1-105	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-5	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV4-NL_30	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV1-124	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-NL_18	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-53	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-103	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-34	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV2-118	0.0012738853503184713	IgM	data-IgM	-1	-1
IGHV3-100	0.0012738853503184713	IgM	data-IgM	-1	-1
