Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV2-69	531146	IgM	data-IgM	0	100
IGHV4-144	2413492	IgM	data-IgM	0	100
IGHV4-NL_16	2143250	IgM	data-IgM	0	100
IGHV4-NL_21	999564	IgM	data-IgM	0	100
IGHV4-NL_4	661522	IgM	data-IgM	0	100
IGHV4-NL_3	790364	IgM	data-IgM	0	100
IGHV4-NL_28	997186	IgM	data-IgM	0	100
IGHV3-88	450928	IgM	data-IgM	0	100
IGHV4-144	1040524	IgM	data-IgM	0	100
IGHV4-NL_3	1793506	IgM	data-IgM	0	100
IGHV3-88	1485560	IgM	data-IgM	0	100
IGHV4-NL_3	1841533	IgM	data-IgM	0	100
IGHV3-5	327785	IgM	data-IgM	0	100
IGHV4-149	2378280	IgM	data-IgM	0	100
IGHV4-93	1996025	IgM	data-IgM	0	100
IGHV4-NL_3	1513994	IgM	data-IgM	0	100
IGHV4-NL_13	2441392	IgM	data-IgM	0	100
IGHV1-138	1496763	IgM	data-IgM	0	100
IGHV4-NL_10	1941991	IgM	data-IgM	0	100
IGHV3-NL_11	767731	IgM	data-IgM	0	100
IGHV4-144	2420499	IgM	data-IgM	0	100
IGHV4-149	1351140	IgM	data-IgM	0	100
IGHV1-105	1814623	IgM	data-IgM	0	100
IGHV4-NL_10	171461	IgM	data-IgM	0	100
IGHV3-NL_10	1206398	IgM	data-IgM	0	100
IGHV4-149	259770	IgM	data-IgM	0	100
IGHV3-152	2122013	IgM	data-IgM	0	100
IGHV4-NL_3	1132574	IgM	data-IgM	0	100
IGHV3-50	1466749	IgM	data-IgM	0	100
IGHV4-NL_3	54782	IgM	data-IgM	0	100
IGHV4-117	1362900	IgM	data-IgM	0	100
IGHV4-NL_36	535241	IgM	data-IgM	0	100
IGHV3-177	63834	IgM	data-IgM	0	100
IGHV2-69	47419	IgM	data-IgM	0	100
IGHV4-NL_3	1620974	IgM	data-IgM	0	100
IGHV3-9	2118338	IgM	data-IgM	0	100
IGHV4-149	1124107	IgM	data-IgM	0	100
IGHV4-NL_13	2409909	IgM	data-IgM	0	100
IGHV4-67	279515	IgM	data-IgM	0	100
IGHV4-NL_16	845610	IgM	data-IgM	0	100
IGHV4-149	1748153	IgM	data-IgM	0	100
IGHV4-NL_1	1583998	IgM	data-IgM	0	100
IGHV3-9	2100465	IgM	data-IgM	0	100
IGHV4-149	593073	IgM	data-IgM	0	100
IGHV3-NL_19	484624	IgM	data-IgM	0	100
IGHV4-NL_29	2249403	IgM	data-IgM	0	100
IGHV4-NL_10	1077130	IgM	data-IgM	0	100
IGHV4-NL_29	2233711	IgM	data-IgM	0	100
IGHV4-NL_29	317062	IgM	data-IgM	0	100
IGHV5-15	2038777	IgM	data-IgM	0	100
IGHV4-93	1298090	IgM	data-IgM	0	100
IGHV4-NL_3	388586	IgM	data-IgM	0	100
IGHV4-NL_13	1027436	IgM	data-IgM	0	100
IGHV4-144	2119548	IgM	data-IgM	0	100
IGHV4-NL_10	1986453	IgM	data-IgM	0	100
IGHV4-NL_22	2264276	IgM	data-IgM	0	100
IGHV4-149	1694652	IgM	data-IgM	0	100
IGHV4-NL_21	2058017	IgM	data-IgM	0	100
IGHV4-NL_16	930831	IgM	data-IgM	0	100
IGHV4-NL_16	1145243	IgM	data-IgM	0	100
IGHV4-149	2236812	IgM	data-IgM	0	100
IGHV4-NL_27	22792	IgM	data-IgM	0	100
IGHV4-NL_4	1934283	IgM	data-IgM	0	100
IGHV4-NL_29	311248	IgM	data-IgM	0	100
