Gene	Usage	Isotype	Sample	Time	Min_num
IGHV4-NL_3	0.11	IgM	data-IgM	0	100
IGHV4-149	0.1	IgM	data-IgM	0	100
IGHV4-NL_10	0.08	IgM	data-IgM	0	100
IGHV4-NL_13	0.06	IgM	data-IgM	0	100
IGHV4-NL_16	0.05	IgM	data-IgM	0	100
IGHV4-144	0.05	IgM	data-IgM	0	100
IGHV4-NL_29	0.04	IgM	data-IgM	0	100
IGHV3-88	0.04	IgM	data-IgM	0	100
IGHV2-69	0.03	IgM	data-IgM	0	100
IGHV4-NL_4	0.03	IgM	data-IgM	0	100
IGHV4-93	0.03	IgM	data-IgM	0	100
IGHV3-177	0.02	IgM	data-IgM	0	100
IGHV3-9	0.02	IgM	data-IgM	0	100
IGHV4-NL_1	0.02	IgM	data-IgM	0	100
IGHV4-NL_25	0.02	IgM	data-IgM	0	100
IGHV3-NL_19	0.02	IgM	data-IgM	0	100
IGHV4-NL_36	0.02	IgM	data-IgM	0	100
IGHV3-NL_11	0.02	IgM	data-IgM	0	100
IGHV3-NL_10	0.02	IgM	data-IgM	0	100
IGHV4-NL_9	0.02	IgM	data-IgM	0	100
IGHV1-138	0.02	IgM	data-IgM	0	100
IGHV4-NL_12	0.02	IgM	data-IgM	0	100
IGHV4-NL_21	0.02	IgM	data-IgM	0	100
IGHV3-NL_17	0.01	IgM	data-IgM	0	100
IGHV3-52	0.01	IgM	data-IgM	0	100
IGHV4-NL_22	0.01	IgM	data-IgM	0	100
IGHV3-NL_9	0.01	IgM	data-IgM	0	100
IGHV4-NL_27	0.01	IgM	data-IgM	0	100
IGHV3-50	0.01	IgM	data-IgM	0	100
IGHV5-15	0.01	IgM	data-IgM	0	100
IGHV4-67	0.01	IgM	data-IgM	0	100
IGHV4-117	0.01	IgM	data-IgM	0	100
IGHV3-152	0.01	IgM	data-IgM	0	100
IGHV1-105	0.01	IgM	data-IgM	0	100
IGHV3-5	0.01	IgM	data-IgM	0	100
IGHV4-NL_28	0.01	IgM	data-IgM	0	100
IGHV4-NL_33	0.01	IgM	data-IgM	0	100
IGHV4-NL_3	0.1	IgM	data-IgM	1	100
IGHV4-144	0.09	IgM	data-IgM	1	100
IGHV4-149	0.09	IgM	data-IgM	1	100
IGHV4-NL_10	0.08	IgM	data-IgM	1	100
IGHV4-93	0.06	IgM	data-IgM	1	100
IGHV4-NL_29	0.05	IgM	data-IgM	1	100
IGHV4-NL_28	0.04	IgM	data-IgM	1	100
IGHV4-NL_12	0.04	IgM	data-IgM	1	100
IGHV2-69	0.03	IgM	data-IgM	1	100
IGHV4-NL_1	0.03	IgM	data-IgM	1	100
IGHV3-177	0.03	IgM	data-IgM	1	100
IGHV3-NL_19	0.03	IgM	data-IgM	1	100
IGHV3-88	0.03	IgM	data-IgM	1	100
IGHV6-1	0.02	IgM	data-IgM	1	100
IGHV4-NL_4	0.02	IgM	data-IgM	1	100
IGHV4-NL_22	0.02	IgM	data-IgM	1	100
IGHV3-NL_17	0.02	IgM	data-IgM	1	100
IGHV4-NL_21	0.02	IgM	data-IgM	1	100
IGHV1-138	0.01	IgM	data-IgM	1	100
IGHV4-NL_33	0.01	IgM	data-IgM	1	100
IGHV3-36	0.01	IgM	data-IgM	1	100
IGHV3-NL_11	0.01	IgM	data-IgM	1	100
IGHV3-NL_10	0.01	IgM	data-IgM	1	100
IGHV4-150	0.01	IgM	data-IgM	1	100
IGHV3-103	0.01	IgM	data-IgM	1	100
IGHV4-NL_25	0.01	IgM	data-IgM	1	100
IGHV3-50	0.01	IgM	data-IgM	1	100
IGHV4-NL_5	0.01	IgM	data-IgM	1	100
IGHV4-NL_16	0.01	IgM	data-IgM	1	100
IGHV4-NL_6	0.01	IgM	data-IgM	1	100
IGHV3-187	0.01	IgM	data-IgM	1	100
IGHV4-NL_13	0.01	IgM	data-IgM	1	100
IGHV4-NL_36	0.01	IgM	data-IgM	1	100
IGHV4-117	0.01	IgM	data-IgM	1	100
IGHV1-124	0.01	IgM	data-IgM	1	100
