Allele	SNP
TRBV2-2*01_S2676	18
TRBV5-9*01_S9760	14
TRBV5-9*01_S5590	14
TRBV5-10*01_S6437	12
TRBV5-9*01_S7382	11
TRBV5-10*01_S9847	11
TRBV5-10*01_S0223	11
TRBV6-2*01_S1712	10
TRBV2-3*01_S5084	10
TRBV5-9*01_S1214	10
TRBV6-2*01_S3921	10
TRBV5-8*01_S5956	9
TRBV10-2*01_S0147	8
TRBV4-2*01_S2222	8
TRBV5-10*01_S7068	7
TRBV5-7*01_S4212	7
TRBV5-8*01_S2717	7
TRBV6-1*01_S2739	7
TRBV7-6*01_S5496	6
TRBV4-3*01_S5021	6
TRBV6-8*01_S7213	6
TRBV5-8*01_S5942	6
TRBV4-1*01_S2202	6
TRBV5-4*01_S1160	6
TRBV5-1*01_S0851	5
TRBV6-6*01_S9028	5
TRBV4-1*01_S4741	5
TRBV7-7-1*01_S9536	5
TRBV7-6*01_S6864	5
TRBV5-9*01_S9602	5
TRBV10-2*01_S1404	5
TRBV6-2*01_S4987	4
TRBV4-1*01_S8667	4
TRBV4-3*01_S6243	4
TRBV5-5*01_S3821	4
TRBV4-3*01_S0723	4
TRBV4-2*01_S3004	4
TRBV6-3*01_S5536	4
TRBV6-3*01_S7411	4
TRBV6-1*01_S7570	4
TRBV3-4*01_S8357	4
TRBV10-3*01_S5045	4
TRBV6-6*01_S3405	4
TRBV11-1*01_S8039	4
TRBV11-2*01_S3771	4
TRBV3-4*01_S9997	4
TRBV2-1*01_S5829	4
TRBV7-7-1*01_S1990	3
TRBV5-7*01_S2533	3
TRBV7-10*01_S9937	3
TRBV7-5*01_S7224	3
TRBV5-5*01_S4614	3
TRBV11-2*01_S6969	3
TRBV5-7*01_S3504	3
TRBV7-3*01_S2014	3
TRBV5-7*01_S4801	3
TRBV11-2*01_S1321	3
TRBV11-1*01_S5498	3
TRBV7-6*01_S1682	3
TRBV10-3*01_S0930	3
TRBV16*01_S2149	3
TRBV6-2*01_S4520	3
TRBV5-3*01_S0627	3
TRBV21-1*01_S9916	3
TRBV7-7-1*01_S1731	3
TRBV6-8*01_S3989	3
TRBV10-2*01_S0391	3
TRBV6-2*01_S7842	3
TRBV3-1*01_S4837	3
TRBV7-7*01_S6941	3
TRBV3-2*01_S0530	3
TRBV6-3*01_S3995	3
TRBV7-7*01_S4428	3
TRBV7-3*01_S8214	2
TRBV6-1*01_S8496	2
TRBV6-8*01_S7731	2
TRBV6-8*01_S1467	2
TRBV5-3*01_S2650	2
TRBV5-1*01_S3225	2
TRBV5-5*01_S3559	2
TRBV10-1*01_S4929	2
TRBV10-3*01_S0562	2
TRBV12-3*01_S9295	2
TRBV12-3*01_S9722	2
TRBV14*01_S5706	2
TRBV7-9*01_S2006	2
TRBV7-9*01_S0818	2
TRBV27*01_S1902	2
TRBV27*01_S8399	2
TRBV7-4*01_S7997	2
TRBV29-1*01_S7188	2
TRBV3-2*01_S2124	2
TRBV4-1*01_S5340	2
TRBV7-6*01_S8721	2
TRBV4-3*01_S0536	2
TRBV7-5*01_S3519	2
TRBV5-10*01_S5154	2
TRBV5-3*01_S1591	2
TRBV7-7*01_S7416	1
TRBV10-1*01_S4267	1
TRBV7-3*01_S0236	1
TRBV7-10*01_S7850	1
TRBV5-4*01_S5270	1
TRBV5-4*01_S3813	1
TRBV4-2*01_S1299	1
TRBV3-2*01_S7319	1
TRBV3-1*01_S7963	1
TRBV29-1*01_S7053	1
TRBV23-1*01_S9537	1
TRBV19*01_S2639	1
TRBV16*01_S1821	1
TRBV15*01_S5370	1
TRBV14*01_S8464	1
TRBV9*01_S0972	1
