Allele	Reported	Mismatch	Chain
TRBV10-1*01_S4267	TRBV10-1*01	1	TCR
TRBV10-1*01_S4929	TRBV10-1*01	2	TCR
TRBV10-2*01_S0147	TRBV10-2*01	8	TCR
TRBV10-2*01_S0391	TRBV10-2*01	3	TCR
TRBV10-2*01_S1404	TRBV10-2*01	5	TCR
TRBV10-3*01_S0562	TRBV10-3*01	2	TCR
TRBV10-3*01_S0930	TRBV10-3*01	3	TCR
TRBV10-3*01_S5045	TRBV10-3*01	4	TCR
TRBV11-1*01_S5498	TRBV11-1*01	3	TCR
TRBV11-1*01_S8039	TRBV11-1*01	4	TCR
TRBV11-2*01_S1321	TRBV11-2*01	3	TCR
TRBV11-2*01_S3771	TRBV11-2*01	4	TCR
TRBV11-2*01_S6969	TRBV11-2*01	3	TCR
TRBV12-3*01_S9295	TRBV12-3*01	2	TCR
TRBV12-3*01_S9722	TRBV12-3*01	2	TCR
TRBV14*01_S5706	TRBV14*01	2	TCR
TRBV14*01_S8464	TRBV14*01	1	TCR
TRBV15*01_S5370	TRBV15*01	1	TCR
TRBV16*01_S1821	TRBV16*01	1	TCR
TRBV16*01_S2149	TRBV16*01	3	TCR
TRBV19*01_S2639	TRBV19*01	1	TCR
TRBV2-1*01_S5829	TRBV2-1*01	4	TCR
TRBV2-2*01_S2676	TRBV2-2*01	18	TCR
TRBV2-3*01_S5084	TRBV2-3*01	10	TCR
TRBV21-1*01_S9916	TRBV21-1*01	3	TCR
TRBV23-1*01_S9537	TRBV23-1*01	1	TCR
TRBV27*01_S1902	TRBV27*01	3	TCR
TRBV27*01_S8399	TRBV27*01	2	TCR
TRBV29-1*01_S7053	TRBV29-1*01	1	TCR
TRBV29-1*01_S7188	TRBV29-1*01	2	TCR
TRBV3-1*01_S4837	TRBV3-1*01	3	TCR
TRBV3-1*01_S7963	TRBV3-1*01	1	TCR
TRBV3-2*01_S0530	TRBV3-2*01	3	TCR
TRBV3-2*01_S2124	TRBV3-2*01	2	TCR
TRBV3-2*01_S7319	TRBV3-2*01	1	TCR
TRBV3-4*01_S8357	TRBV3-4*01	4	TCR
TRBV3-4*01_S9997	TRBV3-4*01	4	TCR
TRBV4-1*01_S2202	TRBV4-1*01	6	TCR
TRBV4-1*01_S4741	TRBV4-1*01	5	TCR
TRBV4-1*01_S5340	TRBV4-1*01	2	TCR
