Position	nSNP
1	0
2	4
3	3
4	1
5	2
6	0
7	4
8	5
9	0
10	4
11	0
12	0
13	0
14	1
15	0
16	0
17	0
18	1
19	0
20	1
21	0
22	1
23	0
24	1
25	0
26	0
27	0
28	0
29	1
30	1
31	0
32	1
33	0
34	3
35	0
36	1
37	0
38	4
39	1
40	2
41	8
42	5
43	0
44	0
45	0
46	1
47	1
48	3
49	0
50	0
51	1
52	1
53	1
54	1
55	1
56	0
57	5
58	2
59	7
60	5
61	4
62	0
63	0
64	2
65	0
66	1
67	1
68	0
69	1
70	0
71	0
72	0
73	1
74	1
75	0
76	4
77	0
78	0
79	1
80	1
81	0
82	0
83	0
84	0
85	0
86	0
87	2
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	5
110	10
111	1
112	8
113	8
114	2
115	1
116	1
117	0
118	0
119	10
120	1
121	0
122	0
123	0
124	1
125	0
126	0
127	0
128	2
129	0
130	2
131	0
132	0
133	0
134	0
135	4
136	1
137	1
138	3
139	0
140	1
141	1
142	0
143	0
144	0
145	2
146	0
147	4
148	0
149	3
150	0
151	0
152	1
153	0
154	5
155	0
156	0
157	0
158	1
159	0
160	0
161	1
162	1
163	5
164	0
165	2
166	0
167	0
168	1
169	6
170	5
171	4
172	6
173	4
174	1
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	1
188	2
189	3
190	1
191	5
192	0
193	3
194	2
195	3
196	0
197	4
198	0
199	1
200	4
201	4
202	1
203	0
204	0
205	0
206	0
207	0
208	1
209	0
210	3
211	1
212	0
213	2
214	5
215	0
216	4
217	0
218	0
219	1
220	3
221	6
222	1
223	0
224	1
225	1
226	0
227	0
228	1
229	4
230	4
231	5
232	0
233	0
234	2
235	0
236	8
237	3
238	0
239	0
240	4
241	4
242	2
243	1
244	0
245	0
246	0
247	7
248	0
249	0
250	3
251	2
252	0
253	5
254	4
255	1
256	7
257	2
258	1
259	0
260	0
261	3
262	1
263	0
264	4
265	2
266	0
267	3
268	0
269	1
270	2
271	0
272	0
273	0
274	1
275	8
276	3
277	3
278	0
279	3
280	2
281	7
282	1
283	11
284	6
285	0
286	6
287	4
288	2
289	0
290	1
291	0
292	0
293	0
294	2
295	0
296	0
297	6
298	0
299	0
300	0
301	6
302	1
303	5
304	3
305	4
306	1
307	3
308	0
309	3
310	0
311	1
312	3
